train set size,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
1,12.001568346308563,6.233642646367981,3.2568129656984857,5.717644215861081,2.762043691835558,4.6212967810938,2.204014664380901,-0.965051726175009,-5.653728006650375,-2.393613429540094,-15.34842273097849,8.512055858936971,4.517478823216696,7.988105741385537,8.005474106685181
10,16.352103226900986,5.959534697153027,1.6481319896992646,4.5326979986634095,0.5399382205719635,-0.4204742994992676,-3.6199551405317427,4.027512610819741,-1.7185610348356564,1.6093318071026859,-11.656118580510405,-2.283826614909687,-3.5576720241347095,13.497380404511688,13.562105923185502
25,17.985263164780186,6.4567689126348835,1.7079041856912984,4.686031972104967,0.29961195544011704,-0.6696632506908164,-4.207183478527448,4.944722347308757,-1.3217445600353317,2.1797710152857337,-12.035406965839236,-3.941959309059318,-4.915213312895504,15.118926699850476,15.191720335910674
50,11.008617262935637,2.919066934281266,-0.09157826047888491,4.229026112194083,1.513365170651493,-7.105249979622468,-8.976913279775316,5.6534248457145875,3.1678305133361353,4.093006153861171,-2.131024542139885,4.403530323403299,1.7614869420894879,17.182031958488338,17.875015160431808
