train set,train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,6.149530547981257,0.00047469069455357237,-2.5780050986638563e-05,0.0011560874138816896,-0.0009409231277788962,2.4519944114832675,-5.3845586252778775e-09,5.041267243859368,4.043843837243393,0.0011024418420893707,-0.00039436546642793234,5.1265558933064925,4.957210704167425
gov,10,flores,4.174562356820845,3.054759975036608e-06,1.273670495230789e-05,5.491785188629974e-06,2.3256527361480486e-07,2.01699681703957e-06,-1.1766899024335795e-07,3.1783071438710757,2.188849844929132,2.9179939042816264e-06,-3.8188837366028057e-07,4.56791366175881,4.034432098832119
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,11.808921526632831,0.00027383135127564734,0.028298147503070498,-7.418162863275219e-09,0.02727067398478329,5.200654863292611,0.6021724239799222,9.829783592170742,8.048553046101086,0.0011286440351101375,0.0035600434165400344,4.971409077187598,4.8580477783750515
gov,25,flores,4.408942424809473,0.00048003394351101876,4.124228183253002e-05,2.0388628806174947e-06,-6.879068309516603e-05,1.3218029137466127,-5.490902417908864e-10,3.659378504987288,2.9847720501497896,-0.00021243895457999764,-4.046264754598702e-06,5.105825638815598,4.449874314806551
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,13.66698340721644,0.0016237332347520178,-0.0018220774765686646,0.0012513715735273034,-0.020274480260061185,5.661540057770671,-1.2466422129786458e-07,10.98395112760162,8.569237286300606,0.025222687803459036,-0.004986660323509957,5.810771118122746,5.346191060370156
gov,50,flores,4.459643351536756,3.859238204825645e-08,2.4022406229431634e-08,1.4731052269542265e-07,-1.0422193939745995e-08,1.277456989034717,-2.7305606418988328e-08,3.662758676238711,2.945561262881235,7.259797296447497e-09,-1.8009474943460854e-08,4.742852776550871,3.98775068129888
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,14.55039457394324,-4.124222279875674e-09,0.005414400721239364,-0.028753897945574244,-0.03611447964499616,7.374363051438105,2.0976333832907166,11.901656389774457,9.517780851804106,-0.07800137041211722,-0.01424646391015048,5.623995031926518,4.9817135897192335
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,5.421629980084535,2.2353062004202748e-05,1.3570833722871772e-05,9.159137874801582e-06,2.5178652872489354e-06,2.018675910361645,-4.1772514543551695e-09,4.443571555595083,3.563314239924859,-3.2535094867716906e-05,3.426404117820265e-05,4.480920407886898,4.156839130981473
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,9.408591656905037,0.0003302681006630377,-0.00025957244605722145,0.0005117581711801937,-0.0009814108269444136,3.7963203318325185,-0.0007393781988834538,7.785462985439162,6.324661558466327,-2.7174798488846793e-09,0.0008580597718006425,4.854254326343811,4.606206752266761
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,10.932376428022978,0.001355760418976321,-0.0018740615896218609,-0.0015170979527286282,0.006881485857433134,4.429769129675865,-3.7005988711575183e-10,9.057559690643066,7.370221702922683,0.0021304810591486574,4.5667439669471615e-05,5.032027852245816,4.795264516219505
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
