train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,20.55131185116062,2.421304610513696,-20.57261646167441,1.3043516908155306,1.31047065336592
gov,1,bible,4.75817727183661,0.21792205543834567,-4.676099327256632,0.6703233050799691,0.6703233050799691
gov,1,gov,42.1999364679913,5.298282271290924,-31.648218739283408,2.6096615361639017,3.5692202696516735
gov,10,flores,24.76246918917714,11.932935415428663,-27.2454046046051,2.83307841990534,3.199270750238773
gov,10,bible,8.608962402359081,0.7347830161618805,-8.193745415023113,1.0248577137014352,1.0484909797672677
gov,10,gov,45.00734031790631,11.345614884420328,-23.602955202326726,3.3783131885602327,3.6185632507941494
gov,25,flores,29.475602669192124,11.892246216667449,-29.767848885848963,3.218902504477781,3.614600023976902
gov,25,bible,9.796000882684222,1.0047387003347004,-9.300739572790018,1.1598850517759651,1.166761900874954
gov,25,gov,51.196585171731996,11.594246118928401,-26.540831290659945,4.030177828996301,4.214656965083007
gov,50,flores,28.24147545661382,12.567996258160978,-29.50947171476896,2.735263546107882,4.370835175412594
gov,50,bible,5.628508917525069,0.9398144944946134,-4.968323411163367,0.7756717518813396,0.999321871360252
gov,50,gov,46.11388833791388,14.337346842179345,-19.651235180093515,5.225578117937445,6.428229535756342
bible,1,flores,4.608362442197066,0.347160769419241,-4.305523211573198,0.3928528138289623,0.40414518843273806
bible,1,bible,34.39556093414194,7.946408398288097,-28.04196933242851,2.103647625752311,2.4546554408578336
bible,1,gov,3.2003755081999787,0.17328133451491037,-3.0736568427133717,0.2633122354417533,0.2633122354417533
bible,10,flores,6.320830030233877,0.9856551006416506,-5.606485129667628,0.6733003292241385,0.6762642482890958
bible,10,bible,40.02891683245009,9.777842242644546,-24.356759075094647,3.099193443462348,3.2320272276080804
bible,10,gov,5.378077552938075,0.4147992377092215,-5.042876790503892,0.5121848624601603,0.5131601439446885
bible,25,flores,6.0756271832376765,1.2366389094905126,-5.212266092730593,0.7357535819371411,0.738466880322579
bible,25,bible,42.2494828644496,10.834425063939221,-23.333907928388687,3.358719994283536,3.5171010790137425
bible,25,gov,5.751173436799768,0.49937459199958983,-5.350548028544756,0.6366579406033771,0.6397916327836031
