,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,28.231762673304118,29.450638498172317,0.13164719115165913,0.19812105148866122,0.3818117057126247
1,poly2,,28.23176267330412,29.45063849817232,0.13164719115165913,0.19812105156338322,0.38181170575854273
2,poly3,,28.231762673304118,29.450638498172317,0.13164719115165913,0.1981210515634295,0.38181170575857093
3,exp,,28.231762673304118,29.450638498172317,0.1316471911516589,0.19812105156343107,0.3818117057585718
4,log,,28.23176267330412,29.45063849817232,0.13164719115165902,0.19812105150675055,0.3818117057237408
5,power,,28.23176267330412,29.45063849817232,0.13164719115165913,0.19812105150522577,0.3818117057228039
6,mult,,28.23176267330412,29.45063849817232,0.13164719115165913,0.19812105150522577,0.3818117057228039
7,hybrid_mult,,28.882859119111764,30.101734943979963,0.010878294655008447,0.06180529945422571,0.2722437418653887
8,am,,28.231762673304118,29.450638498172317,0.13164719115165913,0.19812105148866122,0.3818117057126247
9,gm,,28.231762673304118,29.450638498172317,0.13164719115165913,0.19812105148866122,0.3818117057126247
10,hm,,28.231762673304118,29.450638498172317,0.13164719115165913,0.19812105148866122,0.3818117057126247
