,mean,std,min,25%,50%,75%,max
linear,7.072818975750475,0.7650895783573537,4.283727744076717,4.486760695446395,5.517708391376967,8.484266490332587,14.385185760021123
poly2,6.486932487033337,0.8414126358897718,3.89863225056747,4.293761834934088,4.655305597516509,7.541500738348898,13.681077952173888
poly3,6.162556274378855,0.7557543477512638,3.507390288231484,4.0308635507969015,4.315005405807272,7.35466586141525,13.031631190113208
exp,6.781073525721065,0.5785278320456739,3.80254125499344,4.5182414945817335,4.953487663164256,7.832778262529528,13.68168797424902
log,7.141145269824339,0.6594939977327962,3.694680689657457,4.5094418355279124,4.822752073288956,8.523769228074865,14.80057778088691
power,7.2505608458151265,0.1900764765428978,3.3742630979176385,4.473812792790618,6.032823547753606,8.507889577919206,14.001798561807076
mult,7.228555456435565,0.17061865775775398,3.3475858162748064,4.360241162182806,6.032821015952795,8.509781532140005,14.001798561807076
hybrid_mult,8.068243256580809,0.15406893661630142,3.5975081357322867,4.390657372813488,6.4566160863763375,9.889688174358668,15.95404869678453
am,8.614739876245501,0.6055698050880394,4.401743628666295,6.776439571942657,9.143856554321127,10.277686964500173,14.385185760021123
gm,8.690760533173462,0.6166991118540908,4.401743629060985,6.958415803839518,9.306587055198465,10.403256058545598,14.385185761676064
hm,8.757372612917335,0.6107618557897089,4.401743628962438,6.990489032612917,9.537046969748516,10.542062692096767,14.385185760887866
