model,none,train,test,lang,train+test
linear,13.23897387403444,12.927105209161121,11.141004611289448,13.001961181716359,2.9700219856800536
poly2,13.209407644052217,12.818528834858004,11.132359998786479,13.040922509051153,2.459133640345587
poly3,13.171596193396226,12.83169224019521,21.85645905815292,13.090525437377668,2.3365265214960513
exp,13.29074560531238,12.960751724481316,11.153896248498006,13.108594888952458,3.1060555758974058
log,13.15440665310178,12.78366235010892,11.30792085957693,12.858078595610047,2.309342633112066
power,13.150635235914509,12.798985283931309,11.216456586912026,12.892484877589524,2.38817263831935
hmult,13.183492336850856,12.860894396669835,11.119821461525284,12.944966362548836,2.777907273592648
scaling,13.153681584521284,12.78094385521079,11.197893071178713,12.89211457828076,2.3122583957913307
