test set,language to,c0,c1,c2,rmse,kfold rmse
flores,ka,0.7532992668770685,0.008185272374623213,-0.8094697290084903,4.741245849420627,4.619582923422268
flores,gu,1.6322900828252775,0.03172858261826263,-0.783893625981662,6.518469411257073,7.959068765060867
flores,hi,1.0772375138468104,0.0,-0.7267814709672593,5.634347401726244,5.507740750415153
flores,si,0.6153830132955751,0.0,-0.7609211505722366,3.591958068926675,3.5253578765685476
flores,ta,0.44114629380407067,0.0,-0.8167728779385799,2.664466256160015,2.6301629481636084
bible,ka,2.3348921652898835,0.044273960915357624,-0.7749175876710667,10.943913591104765,12.141103995850797
bible,gu,3.99271891758701,0.0326221887493574,-0.5649642979901526,10.542671283628477,11.125212166670677
bible,hi,5.089902545664688,0.10963099796883248,-0.5209223007454302,12.71413621709291,13.377202036275914
bible,si,6.269036214489141,0.12037250397315766,-0.46735244890208555,16.162402838141293,16.944908060449258
bible,ta,4.023663062460854,0.10940743980368718,-0.5727187702153277,12.886186684267505,13.55864387261656
gov,ka,2.6670903501703003,0.07166872754991986,-0.895623129500407,13.63836811235305,13.64168103614919
gov,gu,6.186439556208271,0.03666305296269331,-0.4842846590316933,15.41514472082718,18.262257695849847
gov,hi,3.5129882316444316,0.0,-0.579328415118976,14.005390084231353,13.789018765884022
gov,si,3.847368399835408,0.0,-0.6320837313993531,18.32284568957894,18.244213578062585
gov,ta,3.125814571099607,0.0,-0.6353856887953105,15.370507459407971,15.224137390634333
