train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
cc_align,25,gov,1,flores,26.52467321996159,-36.737535736085924,0.0,0.0,0.0,0.0,0.0,1.9351845319237961,2.1689619191219385
cc_align,25,gov,1,bible,3.599945381980416,-4.51509520250718,0.0,0.0,0.0,0.0,0.0,0.7280149700133635,0.7609636945409765
cc_align,25,gov,1,gov,1.236786223509705,40.11168346566702,0.0,0.0,0.0,0.0,0.0,2.487522637320441,3.65554655250735
cc_align,25,gov,10,flores,49.82695053391379,-68.6517948191758,0.0,0.0,0.0,0.0,0.0,2.539289552021344,2.750260605840044
cc_align,25,gov,10,bible,6.020964876827698,-6.300343459661348,0.0,0.0,0.0,0.0,0.0,0.8978051414868621,0.9464539073760082
cc_align,25,gov,10,gov,4.075077573772283,58.78280849705028,0.0,0.0,0.0,0.0,0.0,3.3116870581041313,5.418002506432801
cc_align,25,gov,25,flores,54.7865121392841,-74.87359273205152,0.0,0.0,0.0,0.0,0.0,2.498239307563872,2.686293874332961
cc_align,25,gov,25,bible,5.137793428144984,-3.752156385638825,0.0,0.0,0.0,0.0,0.0,1.0517125043990363,1.0944753286961302
cc_align,25,gov,25,gov,2.055287588833208,69.40640376502667,0.0,0.0,0.0,0.0,0.0,3.655101579509641,6.07607253040354
cc_align,25,gov,50,flores,58.621999002239384,-80.03712861709958,0.0,0.0,0.0,0.0,0.0,0.87686763853239,1.717371981415734
cc_align,25,gov,50,bible,6.67585503784881,-6.28036043854095,0.0,0.0,0.0,0.0,0.0,0.5344454158195758,1.0467277434854987
cc_align,25,gov,50,gov,9.99149412414697,60.9741699913682,0.0,0.0,0.0,0.0,0.0,4.878482406117959,9.554657022559061
cc_align,25,bible,1,flores,4.478322188521759,-5.270872859342828,0.0,0.0,0.0,0.0,0.0,0.6601848008465498,0.6604963637814869
cc_align,25,bible,1,bible,6.316289078086703,22.58303426278925,0.0,0.0,0.0,0.0,0.0,2.6014124501432443,3.3109510418985524
cc_align,25,bible,1,gov,5.349277328227197,-8.251198359545274,0.0,0.0,0.0,0.0,0.0,0.40645009280555355,0.41238891128696437
cc_align,25,bible,10,flores,7.1756140437786815,-8.225276685473334,0.0,0.0,0.0,0.0,0.0,0.9078028555693404,0.91591636860171
cc_align,25,bible,10,bible,9.964157858740426,33.83713466063953,0.0,0.0,0.0,0.0,0.0,3.3416478056649397,4.269363306557964
cc_align,25,bible,10,gov,4.461447751662326,-5.238860499638193,0.0,0.0,0.0,0.0,0.0,0.8603615634261411,0.9479463603655863
cc_align,25,bible,25,flores,5.962892666008868,-5.46925505422901,0.0,0.0,0.0,0.0,0.0,1.0094643587474368,1.0096222652428282
cc_align,25,bible,25,bible,13.793519908182825,34.16085431962896,0.0,0.0,0.0,0.0,0.0,3.3306984274543927,4.196619533783479
cc_align,25,bible,25,gov,4.534289761488038,-4.732023212525083,0.0,0.0,0.0,0.0,0.0,0.9297735176690349,0.9959769809835731
cc_align,100,gov,1,flores,29.83999761924499,-40.63678483333144,0.0,0.0,0.0,0.0,0.0,1.6438936240760211,1.7737659744554037
cc_align,100,gov,1,bible,4.324984121315521,-5.397339419168678,0.0,0.0,0.0,0.0,0.0,0.6956227149725006,0.7349596575467531
cc_align,100,gov,1,gov,5.250085645090119,35.57125622725971,0.0,0.0,0.0,0.0,0.0,2.0336218175912646,3.049479982106459
cc_align,100,gov,10,flores,47.94698516500474,-62.505119686860084,0.0,0.0,0.0,0.0,0.0,2.5064994444875497,2.715559366977379
cc_align,100,gov,10,bible,2.957878675185801,0.5352256389703023,0.0,0.0,0.0,0.0,0.0,0.9370521068776415,0.9378642888616611
cc_align,100,gov,10,gov,2.3814702947089126,63.09616571723273,0.0,0.0,0.0,0.0,0.0,3.2995072372529703,5.3239475906340825
cc_align,100,gov,25,flores,51.70496634216355,-66.44734038807825,0.0,0.0,0.0,0.0,0.0,2.3325341690592696,2.3863897972476966
cc_align,100,gov,25,bible,2.249388432197304,2.676131516794274,0.0,0.0,0.0,0.0,0.0,0.9726805746135964,1.0031401666387487
cc_align,100,gov,25,gov,-0.33938442538339153,74.78418623832633,0.0,0.0,0.0,0.0,0.0,3.704105994311373,6.035920948960495
cc_align,100,gov,50,flores,62.542704627357004,-84.29250327976976,0.0,0.0,0.0,0.0,0.0,1.161208769083411,2.2742629088834123
cc_align,100,gov,50,bible,7.2184625044866975,-5.553464829155347,0.0,0.0,0.0,0.0,0.0,0.3480567268662025,0.681679759873201
cc_align,100,gov,50,gov,8.631364733185224,63.75257127954342,0.0,0.0,0.0,0.0,0.0,5.052510770356849,9.895496802100924
cc_align,100,bible,1,flores,5.109081872008858,-6.088085052060556,0.0,0.0,0.0,0.0,0.0,0.6458359746519065,0.646770054054055
cc_align,100,bible,1,bible,8.423185848857413,19.876007978014222,0.0,0.0,0.0,0.0,0.0,2.625027655682153,3.356077635571941
cc_align,100,bible,1,gov,5.792330193302764,-8.674361226108154,0.0,0.0,0.0,0.0,0.0,0.47593699075188367,0.48053079009803173
cc_align,100,bible,10,flores,5.785135058333912,-4.60082624456291,0.0,0.0,0.0,0.0,0.0,0.9746300493414171,0.9747517786956224
cc_align,100,bible,10,bible,8.642278864657888,37.17966682221491,0.0,0.0,0.0,0.0,0.0,3.4121181657664517,4.418233821113716
cc_align,100,bible,10,gov,3.2172424491853073,-2.005739729111764,0.0,0.0,0.0,0.0,0.0,0.9020767290497357,0.9556737744779726
cc_align,100,bible,25,flores,4.993519211056344,-2.4919328982494844,0.0,0.0,0.0,0.0,0.0,1.1723537441161633,1.1737092997516858
cc_align,100,bible,25,bible,16.11792809925645,30.47203718272403,0.0,0.0,0.0,0.0,0.0,3.401606045959665,4.239293465130545
cc_align,100,bible,25,gov,1.6178717656158743,1.5217506143177315,0.0,0.0,0.0,0.0,0.0,1.0212360920880965,1.0520629871454428
gov,25,bible,1,flores,8.64344051826743,-12.603553622287624,0.0,0.0,0.0,0.0,0.0,0.7950561954445529,0.7955049263031717
gov,25,bible,1,bible,13.95433605132842,8.775542396965694,0.0,0.0,0.0,0.0,0.0,2.2822103205441113,3.1659112176378126
gov,25,bible,1,gov,8.592562587361417,-12.279372587946082,0.0,0.0,0.0,0.0,0.0,0.7765894987837991,0.7800799987963535
gov,25,bible,10,flores,11.757018912475818,-15.93034154515498,0.0,0.0,0.0,0.0,0.0,1.2250048667420799,1.2820891987865937
gov,25,bible,10,bible,14.02681111261448,26.509115946196875,0.0,0.0,0.0,0.0,0.0,3.51902485942053,4.648979213048495
gov,25,bible,10,gov,-4.287596946065293,18.189035581586104,0.0,0.0,0.0,0.0,0.0,1.8474656420261788,2.2172890236718303
gov,25,bible,25,flores,10.917800594735574,-13.807023722611314,0.0,0.0,0.0,0.0,0.0,1.4999231299792615,1.5452214904180523
gov,25,bible,25,bible,19.909825357371478,22.709124330238286,0.0,0.0,0.0,0.0,0.0,3.272430468109286,4.047662123195808
gov,25,bible,25,gov,-5.594407387517811,21.654756592947507,0.0,0.0,0.0,0.0,0.0,2.163985342019181,2.3773055337188946
gov,1,bible,1,flores,5.968950267450262,-8.25057825128576,0.0,0.0,0.0,0.0,0.0,0.8824996848724885,0.8875759591662086
gov,1,bible,1,bible,6.349502020652966,19.90196843125642,0.0,0.0,0.0,0.0,0.0,2.7202869850008464,3.4628905114706825
gov,1,bible,1,gov,1.0006460360464424,3.3377449685285283,0.0,0.0,0.0,0.0,0.0,1.2463972109672605,1.3625573051216857
gov,1,bible,10,flores,7.185419857289215,-7.750620274862787,0.0,0.0,0.0,0.0,0.0,1.273785637980067,1.4100119553850694
gov,1,bible,10,bible,11.305543916340442,30.040215968353575,0.0,0.0,0.0,0.0,0.0,3.685931293458185,4.801357672420248
gov,1,bible,10,gov,-12.553701909282488,35.84404182623266,0.0,0.0,0.0,0.0,0.0,2.502690185862385,2.838592538044104
gov,1,bible,25,flores,8.03602049747605,-8.757247705631423,0.0,0.0,0.0,0.0,0.0,1.3988743211660772,1.4647578292425454
gov,1,bible,25,bible,13.302836814687401,34.33289505396403,0.0,0.0,0.0,0.0,0.0,3.4859350932175275,4.560419840379261
gov,1,bible,25,gov,-12.569526876126416,36.860583906719796,0.0,0.0,0.0,0.0,0.0,2.738863255979086,2.893311682099091
gov,10,bible,1,flores,8.83000448083756,-13.109261720381564,0.0,0.0,0.0,0.0,0.0,0.7814856692532456,0.794451270470152
gov,10,bible,1,bible,15.246385811421058,5.565481539658467,0.0,0.0,0.0,0.0,0.0,2.160042229972839,3.0145515076546743
gov,10,bible,1,gov,7.794885323899208,-10.576351725769857,0.0,0.0,0.0,0.0,0.0,0.8922561682387672,0.9119461297999554
gov,10,bible,10,flores,10.240944215480985,-13.205901580107593,0.0,0.0,0.0,0.0,0.0,1.1780403152978292,1.225257809503113
gov,10,bible,10,bible,15.256171033449453,23.455940691681736,0.0,0.0,0.0,0.0,0.0,3.3871841792518356,4.513585473441731
gov,10,bible,10,gov,-7.02010074230231,24.169790311846995,0.0,0.0,0.0,0.0,0.0,1.98825311377163,2.4341381133056066
gov,10,bible,25,flores,9.301786168200909,-10.703274185121822,0.0,0.0,0.0,0.0,0.0,1.3977622682695978,1.442148466129069
gov,10,bible,25,bible,15.696026836561972,30.36181474577457,0.0,0.0,0.0,0.0,0.0,3.366474093636513,4.147563772642779
