train set 1,train set 2,train set 2 size,test set,language to,c0,c1,rmse,loo rmse
cc_align,gov,1,flores,ka,6.299986442569335,-15.254179497887025,0.9000000001021131,0.9180640973906683
cc_align,gov,1,flores,gu,8.290346435984693,0.23192064153882283,2.754785274431772e-14,5.790294840309802
cc_align,gov,1,flores,hi,6.6347978986129235,0.30454107070125214,0.0,3.5845492743049565
cc_align,gov,1,flores,si,6.799981188102426,-14.625825972057656,0.5000000003538875,0.7987505993305276
cc_align,gov,1,flores,ta,5.049995127243962,-7.768499915242105,0.6500000000251677,0.9217530960037574
cc_align,gov,1,bible,ka,0.7500000000786995,-6.769457356553755,0.1500000001720435,0.26538924755340815
cc_align,gov,1,bible,gu,2.6999996624802063,-7.9553840092029615,0.1000000000043522,0.22830655100095704
cc_align,gov,1,bible,hi,1.550003489187457,-8.96637317305226,0.15000000004072755,0.2532492455134353
cc_align,gov,1,bible,si,0.8500000092990738,-12.070055422054537,0.1500000000000003,0.24296188102317126
cc_align,gov,1,bible,ta,0.9000000049281693,-11.537243486474807,0.10000000000000016,0.14733946095574918
cc_align,gov,1,gov,ka,14.033897660844566,0.39500536423041044,1.6852000649168165e-14,19.416986152482252
cc_align,gov,1,gov,gu,22.40563988498318,0.1984795767514011,2.5121479338940403e-15,38.51110238726075
cc_align,gov,1,gov,hi,18.689831520198943,0.3318583985419921,0.0,27.86132300213564
cc_align,gov,1,gov,si,23.251244504283957,0.31413086967318204,2.5121479338940403e-15,43.42882387299823
cc_align,gov,1,gov,ta,19.48983152019894,0.3318583985419924,0.0,30.246021768981343
cc_align,gov,10,flores,ka,10.990346435984696,0.23192064153882014,1.2560739669470201e-15,9.939601523856684
cc_align,gov,10,flores,gu,16.299193227686974,0.27208407023054737,3.552713678800501e-15,21.51932868327955
cc_align,gov,10,flores,hi,13.451244504283862,0.3141308696732078,3.0903504110323245e-13,16.499131700814704
cc_align,gov,10,flores,si,8.189831520198933,0.33185839854199517,3.972054645195637e-14,6.4210576888568545
cc_align,gov,10,flores,ta,6.189831520198941,0.33185839854199234,1.2560739669470201e-15,2.7523396506085245
cc_align,gov,10,bible,ka,1.749998804656262,-10.483598291425665,0.05000000001428963,0.14287653039440287
cc_align,gov,10,bible,gu,4.200000001733094,-6.82769426906598,0.30000000014263617,0.4972664461278642
cc_align,gov,10,bible,hi,3.7500000001475664,-6.705853892422032,0.15000000021112947,0.3044915131812488
cc_align,gov,10,bible,si,2.1999908926407166,-8.545517903982867,0.5000000000835101,0.7792726334622958
cc_align,gov,10,bible,ta,2.950004833584774,-7.616410720626717,0.35000000004464016,0.5818599415942308
cc_align,gov,10,gov,ka,29.280516910324472,0.129974011798244,2.5121479338940403e-15,59.63424315464401
cc_align,gov,10,gov,gu,33.02211198847463,0.17876618446063214,0.0,73.86300186246244
cc_align,gov,10,gov,hi,30.80563988498319,0.19847957675140016,0.0,66.02038719570028
cc_align,gov,10,gov,si,40.30563988498308,0.19847957675142802,1.5114698744996708e-13,102.24151841426959
cc_align,gov,10,gov,ta,32.589671802857254,0.2464031087719092,5.0242958677880805e-15,73.58015914998781
cc_align,gov,25,flores,ka,13.089671802857255,0.2464031087719088,0.0,15.326549447521964
cc_align,gov,25,flores,gu,18.290346435984695,0.23192064153882003,0.0,24.98967588386479
cc_align,gov,25,flores,hi,15.069642298497339,0.32321939601416605,0.0,20.862458999883422
cc_align,gov,25,flores,si,9.920488230172689,0.2943885368935597,1.1580429779916289e-14,8.30117008967535
cc_align,gov,25,flores,ta,7.213348194835398,0.36965369989994545,0.0,4.853909648905077
cc_align,gov,25,bible,ka,2.1000026263126066,-8.451091019973429,0.10000000003525486,0.14156878518771648
cc_align,gov,25,bible,gu,4.799994797282374,-7.445790846930452,0.10000000015484749,0.013052004907630095
cc_align,gov,25,bible,hi,4.100000000762885,-6.576770358567959,0.20000000031988363,0.3558450898905546
cc_align,gov,25,bible,si,2.450010571704786,-8.300420183392642,0.4500000001254247,0.6365435320182995
cc_align,gov,25,bible,ta,3.600000000661631,-6.916932932475933,0.4000000001070243,0.6243808961122324
cc_align,gov,25,gov,ka,32.68051691032448,0.12997401179824306,0.0,71.63990609781301
cc_align,gov,25,gov,gu,37.3,-1.82021381588139e-16,0.0,88.15205351107032
cc_align,gov,25,gov,hi,33.84632383048742,0.15626598183089946,5.0242958677880805e-15,76.34930458786545
cc_align,gov,25,gov,si,44.69540631823431,0.21605101456943615,7.105427357601002e-15,121.23170069990574
cc_align,gov,25,gov,ta,36.390346435984696,0.2319206415388201,5.0242958677880805e-15,88.39057473484631
cc_align,gov,50,flores,hi,17.059845472037928,0.3554880876720004,0.0,23.40205338770377
cc_align,gov,50,flores,si,11.208533634831847,0.2835994578490484,1.2560739669470201e-15,11.324660460715126
cc_align,gov,50,flores,ta,9.989831520198946,0.331858398541992,1.7763568394002505e-15,9.047820351328372
cc_align,gov,50,bible,hi,4.299999999070189,-6.259962649551059,0.4000000008868374,0.6386878023651738
cc_align,gov,50,bible,si,3.0999881741694524,-7.400426673920036,0.600000000139115,0.9402719976310637
cc_align,gov,50,bible,ta,3.8999978795352637,-9.72739427858182,0.400000000005633,0.6582465573705466
cc_align,gov,50,gov,hi,36.40142910806301,-0.1114422032020688,0.0,82.8621180808154
cc_align,gov,50,gov,si,48.446323830487415,0.15626598183089985,5.0242958677880805e-15,141.6570947820706
cc_align,gov,50,gov,ta,39.89639789787239,0.05757252605829577,1.5888218580782548e-14,98.54856649613069
