,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,1.7104945318907085,0.0623450104911286,0.405991953386838,1.6806328577767407,2.370648285994415,6.009419266029123,False,False
poly2,0.5352391050774017,0.0288675134594811,0.1097704220226654,0.22265546013951681,0.6881994556908954,2.8274979431832152,False,False
poly3,0.24017383057879194,0.0288675134584822,0.09449300442154512,0.1630552643192305,0.26654339721308573,1.5059680704125606,True,True
exp,1.990394074896095,0.1178142969015843,0.5477738781503835,1.9524175899994805,2.7787140028129578,6.543399470539367,False,False
log,0.41096960846179326,0.0446629841779082,0.15149617119144634,0.3004137434662334,0.5142271843026169,1.5372390820006891,False,False
power,0.7933747503345566,0.0570319870282939,0.24768934853878355,0.6854638600184398,1.0834535724575651,2.8119493252983143,False,False
mult,0.6617007767588875,0.0653908962176139,0.2057564065560384,0.4831538604214957,0.8758871908599541,2.293948872491634,False,False
hybrid_mult,1.4913169807888296,0.0623853076588464,0.2374398681831856,1.1732925353633292,2.1860664118285493,5.481176198503968,False,False
am,2.868547055387778,0.1239413137749802,0.7650786886579223,2.383337811871286,4.952307313722239,8.345556294750846,False,False
gm,2.584575209078543,0.1042916451924854,0.6068605267470566,2.099464666773546,4.249296154699996,8.176888684687658,False,False
hm,2.5998860447987857,0.1011145427050722,0.5411794031349357,2.1982790682802795,4.051252703945803,8.524098067877913,False,False
