model,multi factor,multi variable,overall linear,sliced linear
linear,197.25%,66.20%,66.17%,100.00%
poly2,197.86%,66.40%,66.38%,100.31%
poly3,198.57%,66.64%,66.61%,100.67%
exp,197.20%,66.18%,66.15%,99.98%
log,196.69%,66.01%,65.98%,99.72%
power,198.30%,66.55%,66.52%,100.54%
hmult,195.99%,65.77%,65.75%,99.36%
