,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[1.0],9.485749680535094e-16,[-1.0],3.0030743939998115e-09,[-0.5],3.1603671176722453e-08
kfold,[-0.5],3.721661668548267e-05,[-1.0],1.0777198060122402,[-1.0],3.595717558759238
