train set size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
1,ka,19.795369843356944,-58.47976924134842,39.68870077167598,1.1084285090122021,1.5023681164114766
1,gu,18.823938796934847,11.109735785006203,-84.67189458788079,2.982755059987161,4.148097254290734
1,hi,24.98071012448448,-38.511377898723914,-15.478119036854864,1.5636738271508026,2.072816422007285
1,si,40.99946804847332,-132.21731584790615,106.90109962494681,0.4482594236184408,0.5163145581875496
1,ta,27.49093500480717,-76.6891449745323,50.11750816287445,2.0859541452580874,2.489479080622434
10,ka,32.79470176314486,-47.0284841365949,-30.894840915386183,2.9823824241999928,3.7112983893419362
10,gu,29.435066473410465,7.921070210886596,-114.9141140973944,3.863182042271408,4.949030302630789
10,hi,36.84159734943774,-55.352517308931965,-24.584736104091746,2.5486610622851567,3.0305284201627978
10,si,57.057557684377315,-182.87355679729353,147.50083244781212,1.8882352613376876,2.199795305027604
10,ta,43.20248615665429,-133.3118131334718,102.68598845389428,2.6431933563895154,3.0205878392143526
25,ka,36.864120580833806,-49.71282226904055,-40.54580281794491,2.9741592949212254,3.7020985664437904
25,gu,32.61797042518865,13.225186749392451,-135.28785685426303,4.033164814320786,5.130704900634378
25,hi,40.82285289364697,-59.31905384501262,-31.22933729779996,2.427170900663685,2.8401661672995253
25,si,62.94026982718921,-199.1055500276496,158.23506973256818,2.0692483726358857,2.4185484544715496
25,ta,47.214149425267216,-141.21689473326083,105.01760038723003,2.3746753232209,2.7328147317421467
50,hi,50.71502796113085,-101.21610626296953,19.480096725433587,7.550209070979409e-07,2.1021520389117323
50,si,66.16442608283242,-187.6318824597873,131.8675102670199,3.721790385606678e-07,9.884992121683846
50,ta,53.87892460270378,-146.72010485253375,97.81013690347586,5.4646278038481e-07,7.475103607163322
