train set 1,train set 2,train set 2 size,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,gov,25,bible,ta,-5.707311968241701,0.44269893129224863,-0.003456258127721588,8.294115039364361e-08,32.49287748308828
cc_align,gov,25,gov,ka,1.2494163951880908,1.6465291777932827,-0.013140233417165853,3.238389952296641e-08,353.2300046327119
cc_align,gov,25,gov,gu,0.8179552730495563,1.8741022363324467,-0.014992817890627709,1.99486306482978e-10,392.16204718928725
cc_align,gov,25,gov,hi,1.3298809641617955,1.7071726184585518,-0.013614714281001694,3.3221197462469717e-13,365.83792716509726
cc_align,gov,25,gov,si,-0.004369081398085127,2.33288511998183,-0.01858841429159082,9.987060982125012e-09,481.4581340640928
cc_align,gov,25,gov,ta,1.2682359296605739,1.8589215415012839,-0.014786039008520584,6.154377310280093e-08,392.46718132150227
cc_align,gov,50,flores,hi,1.4328374122024592,0.9316914627237449,-0.007240198368457757,7.075319156666374e-12,206.54316492318222
cc_align,gov,50,flores,si,4.243779275699078,0.4688110388245307,-0.003622488317900487,3.6762296622840164e-08,140.9460140312531
cc_align,gov,50,flores,ta,2.8658755957914197,0.49603955353668555,-0.003786983094945066,9.364732465218423e-11,132.33733434167
cc_align,gov,50,bible,hi,-7.122277069871078,0.5484471862941587,-0.004302244158801462,2.17832236081414e-08,39.79208762390818
cc_align,gov,50,bible,si,0.5229904831394029,0.09485047571434173,-0.000630803805698589,2.4891440778510467e-09,25.00334543603474
cc_align,gov,50,bible,ta,-9.535313509299003,0.6490990088954974,-0.005107456955116956,1.2631743845198481e-05,35.64791159995486
cc_align,gov,50,gov,hi,1.1007216885770574,1.8002972483249347,-0.014413044652038612,7.668804706665307e-09,381.4086640707397
cc_align,gov,50,gov,si,3.3134160659377,2.337995863180977,-0.018661300238381844,2.498343605902254e-09,518.8619065248441
cc_align,gov,50,gov,ta,-0.10632076398184707,2.0599827049183848,-0.016469194972791826,6.963611459813688e-10,424.8232429726861
cc_align,bible,1,flores,ka,-1.5330529908793649,0.12065264952615565,-0.0009332213307408979,9.534057625369852e-07,9.11081521263055
cc_align,bible,1,flores,gu,-1.8867337347630495,0.22867001886029947,-0.0018080295552105662,1.9414132736469224e-05,27.77098909312575
cc_align,bible,1,flores,hi,-0.7316798029832869,0.15091732348869505,-0.0011860052545794111,1.0806742828567666e-10,23.648492713961154
cc_align,bible,1,flores,si,2.2050650659354565,-0.05058658710001629,0.00041535798952075585,9.741271372976611e-06,12.355124394265118
cc_align,bible,1,flores,ta,-15.48655893704201,0.843661282785111,-0.006727949155352221,5.511387120171057e-05,14.352693274651102
cc_align,bible,1,bible,ka,4.604628167009481,0.4907685945760071,-0.0037981487648033625,4.1237266645086276e-08,149.2522688185129
cc_align,bible,1,bible,gu,1.2618733825986426,0.7812396642564434,-0.006228583980829966,7.01888780593701e-10,174.7179465783835
cc_align,bible,1,bible,hi,1.5361866568662748,0.8811906669428751,-0.006985525335090409,2.8292417349697004e-09,197.7179596625274
cc_align,bible,1,bible,si,1.3110357910923227,1.0664482096547385,-0.008435585675564282,1.0462160881129633e-08,234.13330327699543
cc_align,bible,1,bible,ta,1.1287579423041414,0.8318954350380474,-0.006601830144473009,1.5615314188112186e-08,183.7165795767633
cc_align,bible,1,gov,ka,-3.5431895120390995,0.20649280891943128,-0.0016306091248614962,9.300365381609017e-08,6.078321604720216
cc_align,bible,1,gov,gu,-1.849401309202186,0.17113673104078483,-0.0013264271800173702,1.510430727043695e-08,16.279103956430635
cc_align,bible,1,gov,hi,-1.7546518856123756,0.16706592586779603,-0.001315194070120738,2.315276958908146e-08,16.420525312667944
cc_align,bible,1,gov,si,-1.7698032514926445,0.12315682894319381,-0.0009745889825587953,7.214596504163201e-06,7.183469924101574
cc_align,bible,1,gov,ta,-2.9902117438510967,0.17384392055256667,-0.0013694180377991718,4.715464376315686e-08,5.0438823146770115
cc_align,bible,10,flores,ka,1.43216526485679,0.03205840245081525,-0.00021380111565856195,4.001398824329354e-06,21.443742113125705
cc_align,bible,10,flores,gu,3.9580850939840677,0.025095743269955614,-0.00013676715137116765,8.569259137133115e-06,46.13168656824137
cc_align,bible,10,flores,hi,-4.608065726500991,0.39406995280704193,-0.0031098929574468427,1.4714699876001995e-08,33.78515602338164
cc_align,bible,10,flores,si,-0.3526666228995376,0.11629999786794194,-0.0008877332973489689,1.3494796605173022e-07,20.411559905303868
cc_align,bible,10,flores,ta,0.3074993689992434,0.09695836485852884,-0.000690333585570225,7.042707040187597e-10,23.224228645249227
cc_align,bible,10,bible,ka,0.32932673290890596,1.1972003300212253,-0.009534935973503144,5.275510661177484e-14,250.94201468337425
cc_align,bible,10,bible,gu,0.45066795959940964,1.2161332686840343,-0.009686399482800062,3.5229861768145076e-11,256.1385301506277
cc_align,bible,10,bible,hi,2.3990709562659656,1.2893797854848565,-0.010293704950471006,4.654951946208541e-10,291.9125066817196
cc_align,bible,10,bible,si,1.2546009647918788,1.6449366184241503,-0.013084826280720276,3.867833394019128e-11,352.9471619202373
cc_align,bible,10,bible,ta,0.6659861844314445,1.3400340240042041,-0.010666938858472603,1.4232427844361052e-09,284.50254824374656
cc_align,bible,10,gov,ka,-1.7650349464022785,0.12225174698545381,-0.0009460149697516215,7.046440782377496e-06,7.042048567864264
cc_align,bible,10,gov,gu,-4.733718018380796,0.39501923472894096,-0.0031068205184853334,1.915484165521845e-07,32.705009517444246
cc_align,bible,10,gov,hi,1.43216526485679,0.03205840245081525,-0.00021380111565856195,4.001398824329354e-06,21.443742113125705
cc_align,bible,10,gov,si,-25.923321120290776,1.3648327321970968,-0.010875970813514626,0.00017285331015354742,14.211271918413795
cc_align,bible,10,gov,ta,-1.200487866885391,0.11269106000881567,-0.0008268617763585239,2.624293959409647e-07,10.896612364185538
cc_align,bible,25,flores,ka,-0.8299533817223279,0.1554976692243081,-0.0012119813539143017,2.2001204679826333e-09,23.5777820358425
cc_align,bible,25,flores,gu,-3.875530692840575,0.4357765345951944,-0.0033902122812038225,3.2181196603970826e-08,50.05301785769267
cc_align,bible,25,flores,hi,-7.434643553070114,0.5400655109205079,-0.004267190726636722,1.930900938371027e-07,34.82180902898545
cc_align,bible,25,flores,si,-0.3536747475759518,0.11568373724523971,-0.0008614699444010986,3.3102298157917204e-07,20.270138549066555
cc_align,bible,25,flores,ta,2.2104490955388183,0.027144211885861386,-0.00014248696912231911,4.2005970595368165e-07,28.447013533890207
cc_align,bible,25,bible,ka,2.419758175185402,1.3073454245738927,-0.010405430063257448,2.259687888716603e-12,295.82452275025014
cc_align,bible,25,bible,gu,2.3994130362258383,1.3043626812315263,-0.010413568115903925,3.844221788058636e-09,295.0434381164011
cc_align,bible,25,bible,hi,1.334380661395875,1.5362809669302258,-0.012226247735441844,2.5628834232622114e-13,331.7545660300573
cc_align,bible,25,bible,si,0.9238923932171009,1.8624720476919652,-0.014857109716321476,9.079480019965869e-09,391.06660452045145
cc_align,bible,25,bible,ta,1.2822626040146137,1.5152202031588908,-0.012100428291993445,3.478543119303954e-10,326.9044775526041
cc_align,bible,25,gov,ka,-1.350927337138871,0.11721303221035573,-0.0009270384044342461,5.782677887236399e-06,10.286576500192485
cc_align,bible,25,gov,gu,-12.686876146216644,0.817677139658753,-0.00648808386253402,5.717781646184658e-07,37.93196278898978
cc_align,bible,25,gov,hi,0.6627184518712909,0.08619741077181164,-0.0006682459529087278,4.240087407639704e-10,24.679619965765514
cc_align,bible,25,gov,si,-1.8020774605669307,0.16910387287125264,-0.0013208309828298649,2.485691492521635e-09,16.34981463454929
cc_align,bible,25,gov,ta,-15.344722759347036,0.8395694719890178,-0.006631222474485113,2.1592129656770925e-07,14.962419975852137
gov,bible,1,flores,ka,0.5796296296296828,0.12351851851850422,-0.003148148148147651,3.2696963404101187e-14,10.232447160104028
gov,bible,1,flores,gu,3.055555555554769,0.045555555555683795,-0.0011111111111150073,3.875282516174576e-13,30.02647945418979
gov,bible,1,flores,hi,2.339443945517138,0.0061271788382250975,9.773305574832275e-05,0.05718295367183818,0.6629629629629635
gov,bible,1,flores,si,0.9497418051189943,0.004337776054210703,8.674531575295177e-06,0.06772506244932788,0.7851851851876784
gov,bible,1,flores,ta,1.0687060320311332,0.0075428623913132205,2.3710386305806152e-05,0.029709579282016424,0.34444444442894406
gov,bible,1,bible,ka,12.288888888888886,0.5255555555555564,-0.014444444444444478,2.0511601988091347e-15,109.49200600425858
gov,bible,1,bible,gu,15.616666666666669,0.18833333333333338,-0.005000000000000007,2.2932668186396043e-15,143.96465578412014
gov,bible,1,bible,hi,18.11989971561144,0.06951749193778804,-0.0008859588248901188,0.11085187108451315,1.2851851851851812
gov,bible,1,bible,si,21.246613530908522,0.08856727354370135,-0.000992944714318793,0.04280735079344384,0.49629629629642125
gov,bible,1,bible,ta,16.159860050145536,0.06696911872896054,-0.0008055748332378429,0.03258469985769588,0.3777777777777729
gov,bible,1,gov,ka,0.9111111111105059,0.09111111111121288,-0.0022222222222253495,2.9823172996591986e-13,0.23406335241265114
gov,bible,1,gov,gu,5.049074074074074,-0.1528703703703704,0.0037962962962962976,2.5639502485114184e-16,48.04638724861524
gov,bible,1,gov,hi,2.908297784762657,-0.02179078050372666,0.00035363173721939255,0.016452078849718787,0.19074074074067893
gov,bible,1,gov,si,2.448080377189043,-0.09079305629260723,0.0013688410825815403,0.17697964432513033,2.0518518518518514
gov,bible,1,gov,ta,2.4414571154352194,-0.0799939787068903,0.0012751561392789225,0.1718683188572565,1.9925925925925927
gov,bible,10,flores,ka,1.7796296296296295,0.12351851851851854,-0.003148148148148149,0.0,7.606688683256622
gov,bible,10,flores,gu,5.489814814814815,0.010092592592592526,9.259259259259533e-05,0.0,50.623431264055384
gov,bible,10,flores,hi,3.402400464002395,0.01782672368045069,-0.0001992250751792741,0.025077440576755754,0.29074074074074097
gov,bible,10,flores,si,2.4782779524023346,-0.02306496713883329,0.0003938237335183892,0.05558566446312755,0.6444444444444439
gov,bible,10,flores,ta,2.2407180811255802,-0.002689870188186305,0.00011421466574138314,0.04775894734044559,0.5537037037037025
gov,bible,10,bible,ka,22.762037037036844,0.24398148148151347,-0.006018518518519493,9.57915969672226e-14,212.4338131370537
gov,bible,10,bible,gu,24.33703703703646,0.06481481481490932,-0.0018518518518547261,2.8265106619756966e-13,227.30488720972227
gov,bible,10,bible,hi,27.961682382876816,0.020516593868636926,-0.0003134397409206564,0.022681506763689175,0.2629629629629555
gov,bible,10,bible,si,33.85670184104174,0.049283891905133034,-0.000640180430256794,0.11851885928632326,1.3740740740739383
gov,bible,10,bible,ta,26.21841603053311,0.04084056210974834,-0.00046061762664973555,0.0515924414413511,0.5981481481481481
gov,bible,10,gov,ka,1.6851851851851851,0.11740740740740746,-0.0025925925925925947,0.0,7.693268150695729
gov,bible,10,gov,gu,10.57777777777778,-0.1822222222222226,0.0044444444444444575,0.0,100.6888540778138
gov,bible,10,gov,hi,5.5858816045502175,-0.10263409805282282,0.001699629886652788,0.018848012662784627,0.21851851851851745
gov,bible,10,gov,si,6.96691737748898,-0.10583918437764392,0.0016845940317330656,0.07858662906855982,0.9111111111111114
gov,bible,10,gov,ta,7.246112108138761,-0.13975435760822974,0.0023045338874492075,0.11436590734367605,1.325925925925925
gov,bible,25,flores,ka,2.208333333333333,0.09416666666666675,-0.0025000000000000022,3.6259732146947156e-16,17.220217608258878
gov,bible,25,flores,gu,6.058333333333333,0.0425000000000002,-0.0008333333333333412,0.0,55.7467274756552
gov,bible,25,flores,hi,3.7143728478178364,0.005045617876730231,-2.8336803854274335e-05,0.024278795972400517,0.2814814814814819
gov,bible,25,flores,si,2.458039587561736,-0.01745300425646841,0.00036230626580902774,0.051272983599608926,0.594444444444445
gov,bible,25,flores,ta,2.6760870378685824,-0.0033977119647303506,0.00015122600046264112,0.09120521381737293,1.0574074074074058
gov,bible,25,bible,ka,27.456481481481482,0.14675925925925898,-0.0032407407407407302,2.0511601988091347e-15,255.66653741466862
gov,bible,25,bible,gu,28.671296296296298,-0.07398148148148176,0.0026851851851851924,0.0,269.5541084226432
gov,bible,25,bible,hi,31.75043593773387,0.062116126464465245,-0.0009434998843395831,0.014535331799264228,0.1685185185186171
gov,bible,25,bible,si,38.14406713066837,-0.02467327631949242,0.0006341082581531833,0.025077440576753856,0.2907407407438569
gov,bible,25,bible,ta,30.992459961083668,0.02164928358574505,-0.00031980106407587024,0.14247819741698167,1.6518518518518572
gov,bible,25,gov,ka,1.5824074074074073,0.12046296296296301,-0.002870370370370372,0.0,6.191207532977905
gov,bible,25,gov,gu,11.244444444444444,-0.2522222222222219,0.007777777777777769,1.4503892858778862e-15,107.60307983224529
gov,bible,25,gov,hi,6.568750933833692,-0.127539596548988,0.00213682627594748,0.1961471148296568,2.2740740740740755
gov,bible,25,gov,si,7.126957041992396,-0.10329081108953729,0.0016042100388594003,0.15685380029537715,1.818518518518518
gov,bible,25,gov,ta,8.21150089806915,-0.13918801281789595,0.002301353226925744,0.031786055253340426,0.36851851851851825
bible,gov,1,flores,ka,1.9731481481481483,0.43842592592592583,-0.01157407407407407,0.0,10.035900749081662
bible,gov,1,flores,gu,7.900925925925926,0.10120370370370362,-0.0021296296296296263,0.0,72.4845509525064
bible,gov,1,flores,hi,6.718518518518518,0.08407407407407404,-0.0025925925925925895,5.127900497022837e-16,61.59174288836824
bible,gov,1,flores,si,4.1796296296296305,0.02018518518518517,0.00018518518518518436,5.127900497022837e-16,38.292858490954295
bible,gov,1,flores,ta,3.1898148148062866,0.010092592593983239,9.25925925503356e-05,4.199675067078752e-12,28.17473267657672
bible,gov,1,bible,ka,0.80370370370356,0.09814814814817169,-0.0018518518518525684,7.077341609920608e-14,5.337810370874781
bible,gov,1,bible,gu,6.681481481481481,-0.08407407407407412,0.0025925925925925947,0.0,63.10430721732114
bible,gov,1,bible,hi,6.677777777777779,-0.2855555555555558,0.007777777777777787,7.251946429389431e-16,64.93613410068309
bible,gov,1,bible,si,3.864814814814815,-0.27240740740740743,0.007592592592592593,4.796711693331816e-16,36.521264839487316
bible,gov,1,bible,ta,4.243518518518519,-0.25009259259259264,0.006574074074074076,3.6259732146947156e-16,30.342478806137247
bible,gov,1,gov,ka,10.407407407407408,1.019629629629629,-0.027037037037037016,2.0511601988091347e-15,86.84541870115781
bible,gov,1,gov,gu,21.664814814814818,0.13759259259259216,-0.0024074074074073894,2.9007785717557725e-15,201.452934827111
bible,gov,1,gov,hi,19.892592592592578,0.007037037037039384,0.00037037037037030194,6.486338074120659e-15,186.30540497887586
bible,gov,1,gov,si,22.109259259259147,0.19537037037038887,-0.004629629629630187,5.5985777926882054e-14,204.96114446223942
bible,gov,1,gov,ta,19.94351851851851,0.15990740740740922,-0.003425925925925978,6.802928764360687e-15,185.1983689404938
bible,gov,10,flores,ka,9.780555555555555,0.32805555555555543,-0.008611111111111106,0.0,87.96619926915434
bible,gov,10,flores,gu,16.42962962962963,0.07185185185185128,-0.0014814814814814608,2.0511601988091347e-15,152.7867279897743
bible,gov,10,flores,hi,14.568518518518518,0.032407407407407565,-0.0009259259259259312,0.0,135.95845338824387
bible,gov,10,flores,si,9.416666666666666,-0.018333333333333163,0.001666666666666661,0.0,88.12054396369314
bible,gov,10,flores,ta,6.805555555555555,0.09722222222222222,-0.0027777777777777775,5.127900497022837e-16,62.2697278513775
bible,gov,10,bible,ka,2.178703703703704,0.22564814814814815,-0.004351851851851851,1.0255800994045674e-15,14.199849628508987
bible,gov,10,bible,gu,9.59351851851852,0.21157407407407378,-0.005092592592592584,0.0,87.41474232895126
bible,gov,10,bible,hi,9.019444444444444,0.2886111111111111,-0.008055555555555555,1.0255800994045674e-15,81.26770904230435
bible,gov,10,bible,si,8.682407407407407,0.12046296296296297,-0.002870370370370371,1.4503892858778862e-15,78.84053417612367
bible,gov,10,bible,ta,7.5055555555555555,0.09722222222222224,-0.0027777777777777783,0.0,68.8129729629341
bible,gov,10,gov,ka,28.827777777777776,0.17611111111111113,-0.0038888888888888888,2.9007785717557725e-15,268.4033500408001
bible,gov,10,gov,gu,33.4083333333333,0.09416666666667149,-0.0025000000000001453,1.6409281590473078e-14,311.38305500525973
bible,gov,10,gov,hi,32.22407407407407,-0.02537037037036867,0.0012962962962962381,4.1023203976182695e-15,302.7225891166588
bible,gov,10,gov,si,41.12962962962278,0.07185185185296873,-0.001481481481515416,3.3738561388114195e-12,385.1413926427778
bible,gov,10,gov,ta,33.67685185185181,0.1265740740740815,-0.003425925925926155,2.1316282072803006e-14,313.4559939563564
bible,gov,25,flores,ka,13.169444444444446,0.13361111111111093,-0.003055555555555552,0.0,121.76076856699802
bible,gov,25,flores,gu,18.85555555555555,0.04555555555555666,-0.0011111111111111443,2.9007785717557725e-15,176.46397294548876
bible,gov,25,flores,hi,16.808333333333334,-0.009166666666666781,0.0008333333333333369,2.0511601988091347e-15,157.01689672349445
bible,gov,25,flores,si,10.998148148148148,0.000925925925925795,0.0009259259259259384,3.076740298213702e-15,102.69995051708437
bible,gov,25,flores,ta,8.711111111111112,0.09111111111111114,-0.0022222222222222244,0.0,79.36628404520802
bible,gov,25,bible,ka,2.2962962962962963,0.3118518518518519,-0.008148148148148147,5.127900497022837e-16,15.124640034092637
bible,gov,25,bible,gu,9.73611111111111,0.2702777777777782,-0.006388888888888907,1.0255800994045674e-15,88.14427434722056
bible,gov,25,bible,hi,9.101851851851853,0.30574074074074065,-0.007592592592592591,0.0,81.84525058020218
bible,gov,25,bible,si,9.396296296296297,0.3118518518518516,-0.008148148148148142,1.4503892858778862e-15,84.53466722486897
bible,gov,25,bible,ta,8.080555555555554,0.1213888888888889,-0.0019444444444444424,1.4503892858778862e-15,73.9486236881127
bible,gov,25,gov,ka,33.858333333333285,0.04250000000000923,-0.0008333333333336212,2.209167143284393e-14,315.97961709711643
bible,gov,25,gov,gu,37.18425925925861,0.01620370370380973,-0.00046296296296618485,3.2037520206800697e-13,356.3954281578201
bible,gov,25,gov,hi,34.78148148148137,0.019259259259277278,-0.0007407407407412997,5.411332257568737e-14,324.5506842383997
bible,gov,25,gov,si,46.266666666666666,0.03333333333333377,-1.3789850122742616e-17,0.0,437.5987429245808
bible,gov,25,gov,ta,37.8296296296286,0.0718518518520188,-0.0014814814814865383,5.066656332952546e-13,355.8775125860393
bible,gov,50,flores,hi,18.811111111111106,-0.012222222222221307,0.0011111111111110773,2.9007785717557725e-15,176.69314030676898
bible,gov,50,flores,si,12.205555555555552,-0.0061111111111108365,0.0005555555555555499,1.0255800994045674e-15,114.15790519440837
bible,gov,50,flores,ta,10.739814814814816,0.06175925925925907,-0.0015740740740740676,0.0,99.67689196976247
bible,gov,50,bible,hi,8.838888888888889,0.37055555555555564,-0.009444444444444448,1.0255800994045674e-15,78.76422709927905
bible,gov,50,bible,si,9.633333333333335,0.2733333333333332,-0.006666666666666661,1.4503892858778862e-15,87.14929504657782
bible,gov,50,bible,ta,8.546296296296296,0.15685185185185196,-0.003148148148148152,0.0,77.69048944903787
bible,gov,50,gov,hi,36.39444444444407,0.006111111111171523,-0.0005555555555573799,1.828181031309641e-13,335.47837206422395
bible,gov,50,gov,si,49.48703703703704,0.013148148148147453,-0.00018518518518515598,0.0,463.90079813964616
bible,gov,50,gov,ta,40.226851851847584,0.07490740740810288,-0.0017592592592803823,2.098728832913208e-12,376.75268878819764
