train set 1,train set 2,train set 2 size,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,gov,1,flores,ka,2.155930836716351,0.15620345862814392,-0.0010576276695209738,7.039891138118869e-09,54.6180614269808
cc_align,gov,1,flores,gu,-2.9444211617670395,0.6645543913673315,-0.005231101795605851,1.3370183294842604e-08,107.0539765265448
cc_align,gov,1,flores,hi,2.229715225901753,0.34884757207954414,-0.002641447460960343,1.5414535114146392e-06,95.09228839798027
cc_align,gov,1,flores,si,-2.7034635777933356,0.44683984463107296,-0.003468052381391646,2.075676669717932e-06,64.49881686286714
cc_align,gov,1,flores,ta,3.9635681159125884,0.01748825770249654,-1.2414135980316361e-06,1.4349404517478922e-05,44.602307183683735
cc_align,gov,1,bible,ka,-3.232734992544354,0.19063674974709643,-0.00149309402051923,1.5792045182861516e-07,6.007610926601561
cc_align,gov,1,bible,gu,2.0933611236515404,0.024665277150674476,-0.00017598888387188928,1.082958181606443e-12,26.740924890673668
cc_align,gov,1,bible,hi,-23.72604252681998,1.2553021213838609,-0.010010417790934397,5.883328985060762e-06,14.28198259653245
cc_align,gov,1,bible,si,-1.7650349464022785,0.12225174698545381,-0.0009460149697516215,7.046440782377496e-06,7.042048567864264
cc_align,gov,1,bible,ta,-1.7509221064099387,0.12687943862002404,-0.0009937023973076217,1.5710853305470306e-06,8.147152339992031
cc_align,gov,1,gov,ka,1.2341560182704685,0.8096255324160142,-0.006199670925986745,5.0225974943397647e-11,180.19702292167693
cc_align,gov,1,gov,gu,0.31969680993865907,1.1970151599097139,-0.009512121280124837,5.381793467496373e-09,250.80059332713694
cc_align,gov,1,gov,hi,1.3663822331312587,1.0060142217906445,-0.0078667804412328,1.5068295695667025e-09,222.28923371473104
cc_align,gov,1,gov,si,-0.047362386836885255,1.2973681193806108,-0.01021894495512693,5.129735612932716e-10,268.31552072217517
cc_align,gov,1,gov,ta,1.3334990717892543,1.047658379356259,-0.008199933700697172,5.129044829952738e-09,230.42733121870245
cc_align,gov,10,flores,ka,2.1986555978496756,0.5424005533829982,-0.004253871093562835,8.302393155932203e-10,135.0683067114056
cc_align,gov,10,flores,gu,1.0808060533958668,0.8772930304564355,-0.0069010109098797505,2.7404950692308055e-09,192.3655560171891
cc_align,gov,10,flores,hi,0.7026015607894429,0.7698699213232334,-0.005998959368891301,8.78120044022184e-09,166.58380755124458
cc_align,gov,10,flores,si,-0.24124282739210492,0.5613954747080497,-0.004309830464452108,7.838483024507864e-10,113.60936973737782
cc_align,gov,10,flores,ta,1.0812170366876535,0.39527248150156746,-0.002980846519675873,7.022093244412104e-09,92.84392007436165
cc_align,gov,10,bible,ka,0.18279811443578414,0.07552676100408197,-0.000593547250494889,1.2114868110057472e-06,17.524850064205584
cc_align,gov,10,bible,gu,-13.970866723961375,0.8915433364159914,-0.007068346685782487,4.265444182152429e-08,39.93350898014549
cc_align,gov,10,bible,hi,-5.871076800312068,0.47255383837274334,-0.0037484350141589492,3.0540413033484905e-05,37.030040147816436
cc_align,gov,10,bible,si,-0.5949304887877785,0.11141319080139529,-0.0007846388591133104,4.0325649365069685e-09,16.888453961137692
cc_align,gov,10,bible,ta,1.218998405423277,0.06671674636587284,-0.0004590673069526221,1.9522915934517307e-08,26.387371500080395
cc_align,gov,10,gov,ka,1.4266871908191854,1.4676656404581594,-0.011709325123663409,1.1666106121399316e-11,318.60469372396926
cc_align,gov,10,gov,gu,1.4418531930910237,1.6662406741303082,-0.013276592060664779,5.974786993227458e-09,358.97885729272497
cc_align,gov,10,gov,hi,1.2604972086472745,1.5699751390172099,-0.012495801110972989,7.283484444087189e-09,337.89488801886097
cc_align,gov,10,gov,si,0.3815689970752568,2.0889215501536675,-0.016647372401245062,9.8322364236892e-11,435.59147746199227
cc_align,gov,10,gov,ta,1.4791264194590739,1.6630436739950494,-0.013208349381307891,6.658556115198151e-08,358.6960145802504
cc_align,gov,25,flores,ka,-0.32766940948298506,0.7783834700041462,-0.006131067758756262,6.532401235037026e-09,157.70900693585034
cc_align,gov,25,flores,gu,1.361362178964766,0.9492652235956177,-0.007508788453760385,1.0446704459026857e-08,209.17824530132236
cc_align,gov,25,flores,hi,1.0617936481741206,0.8365769842559628,-0.006521949207376806,2.643446801686915e-11,183.9530984276551
cc_align,gov,25,flores,si,2.867279895483537,0.477302671896995,-0.003679754708519103,5.964579338604828e-11,128.36158751995134
cc_align,gov,25,flores,ta,-2.194031756833022,0.6273682544568814,-0.004784279367714211,8.283975411368319e-09,107.10154990452865
cc_align,gov,25,bible,ka,-0.8199583033906371,0.14033124840732208,-0.001101316653857292,1.5822630602823958e-09,20.552981261541177
cc_align,gov,25,bible,gu,-1.2655576869212741,0.29761121860033357,-0.0023595564166668153,1.3299697492709642e-08,48.47811634599296
cc_align,gov,25,bible,hi,-13.480140638924812,0.8676736992767443,-0.006898722890980438,2.691699717859001e-07,40.0749303363828
cc_align,gov,25,bible,si,-0.34671456430765907,0.11433572813550408,-0.0008186858520659477,1.923640552278391e-07,20.058006514710595
