model,mean,min,25%,50%,75%,max
linear,13.642887331116537,13.642887331116537,13.642887331116537,13.642887331116537,13.642887331116537,13.642887331116537
poly2,13.642849355848492,13.642849355848492,13.642849355848492,13.642849355848492,13.642849355848492,13.642849355848492
poly3,13.642852060586543,13.642852060586543,13.642852060586543,13.642852060586543,13.642852060586543,13.642852060586543
exp,13.64286111776369,13.64286111776369,13.64286111776369,13.64286111776369,13.64286111776369,13.64286111776369
log,13.642850701458716,13.642850701458716,13.642850701458716,13.642850701458716,13.642850701458716,13.642850701458716
power,13.643604085108077,13.643604085108077,13.643604085108077,13.643604085108077,13.643604085108077,13.643604085108077
mult,13.64285551360364,13.64285551360364,13.64285551360364,13.64285551360364,13.64285551360364,13.64285551360364
hmult,13.642857431634786,13.642857431634786,13.642857431634786,13.642857431634786,13.642857431634786,13.642857431634786
am,13.714066750690275,13.714066750690275,13.714066750690275,13.714066750690275,13.714066750690275,13.714066750690275
gm,13.714118549250538,13.714118549250538,13.714118549250538,13.714118549250538,13.714118549250538,13.714118549250538
hm,13.714451959234928,13.714451959234928,13.714451959234928,13.714451959234928,13.714451959234928,13.714451959234928
