train set,language to,c0,c1,c2,rmse,kfold rmse
gov,ka,5.679917862682671,0.21995009014702965,-0.8122044003852551,10.847412937877799,11.088924585446117
gov,gu,10.917445439475827,0.04803071745570496,-0.2674327237670231,11.6900523662376,11.93995509652791
gov,hi,9.286481264826948,0.10145750237305087,-0.3580503616389942,11.883835341618951,12.1004168280339
gov,si,8.784459175195868,0.10175685921858527,-0.4174030949425584,17.372041444934414,17.642039260061036
gov,ta,7.543780698755678,0.05594519595160749,-0.3327139836188572,14.349853234931869,14.636852789863742
bible,ka,4.366479810571877,0.05886587885400683,-0.3788738163694155,10.041064871692926,10.328087548339075
bible,gu,6.431976367111643,0.03166761312373198,-0.23367963737612493,9.893914426279471,10.085504583572483
bible,hi,6.947659236877462,0.023536793593191725,-0.20827172925585594,11.787676674662656,12.022112153703937
bible,si,7.574350709780462,0.04735044091048531,-0.246679166999514,14.66841374751094,14.952840660151313
bible,ta,5.717481665850968,0.02373175036917672,-0.25169741823037395,11.588887189425883,11.81782632547432
