train set size,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,4.057126843235582,-4.778756091440469e-10,-0.008146985611058305,-0.014042668297921758,1.0869094662260839,0.014638635150237304,0.007519766514388294,8.473937903746204,8.529647026958644
10,8.983010362154959,2.2396265359472518e-05,2.0209415164834605e-05,-8.511047057680186e-06,2.409861895017093,-2.7365545518908325e-09,5.117632271465789e-06,13.812708675585176,13.772086824400086
25,9.45441210861783,-1.4425520096342944e-09,-0.001563137238648718,-0.09793920047972028,2.575589110185881,0.020557822358882875,0.01644424049017176,15.690096709791483,15.429469736772345
50,14.00430299006445,8.399377129662364e-10,0.04035433604241803,-0.00013692750747023474,4.082093521774348,0.023243518757472215,-0.0015145011502835655,17.43926076118715,17.8651714781193
