model,mean,min,25%,50%,75%,max
linear,13.24912899105,12.02101942987024,12.63507421046012,13.24912899105,13.86318377163988,14.47723855222976
poly2,13.231592917736755,12.018074676214248,12.624833796975501,13.231592917736755,13.838352038498007,14.44511115925926
poly3,13.213833703757345,12.008097438408752,12.61096557108305,13.213833703757345,13.816701836431642,14.41956996910594
exp,13.212621874884062,12.002723498190925,12.607672686537494,13.212621874884062,13.81757106323063,14.4225202515772
log,13.24024572505212,12.02841438502389,12.634330055038005,13.24024572505212,13.846161395066234,14.45207706508035
power,13.218363518511993,12.013801380562658,12.616082449537325,13.218363518511993,13.82064458748666,14.422925656461327
mult,13.212892683596701,12.002074302562518,12.60748349307961,13.212892683596701,13.818301874113793,14.423711064630885
hmult,13.21852543452105,12.008370405618829,12.61344792006994,13.21852543452105,13.82360294897216,14.428680463423271
am,13.258056047345669,12.027849071030326,12.642952559187997,13.258056047345669,13.87315953550334,14.48826302366101
gm,13.25789123901538,12.02751280494834,12.642702021981862,13.25789123901538,13.8730804560489,14.48826967308242
hm,13.257882046823603,12.027467908134458,12.64267497747903,13.257882046823603,13.873089116168176,14.488296185512748
