model,pareto,rawlsian,gov,bible
linear,False,False,14.47723855222976,12.02101942987024
poly2,False,False,14.44511115925926,12.018074676214248
poly3,True,True,14.41956996910594,12.008097438408752
exp,True,False,14.4225202515772,12.002723498190925
log,False,False,14.45207706508035,12.02841438502389
power,False,False,14.422925656461327,12.013801380562658
mult,True,False,14.423711064630885,12.002074302562518
hmult,False,False,14.428680463423271,12.008370405618829
am,False,False,14.48826302366101,12.027849071030326
gm,False,False,14.48826967308242,12.02751280494834
hm,False,False,14.488296185512748,12.027467908134458
