train set 1,train set 2,train set 2 size,test set,language to,c0,c1,rmse,kfold rmse
cc_align,gov,1,flores,ka,-0.4441132007534256,-1.2048947904971161,6.363961030678944,6.363961030678944
cc_align,gov,1,flores,gu,-0.4441132007534256,-1.2048947904971161,10.807404868885055,10.807404868885055
cc_align,gov,1,flores,hi,-0.4441132007534256,-1.2048947904971161,10.024470060806225,10.024470060806225
cc_align,gov,1,flores,si,-0.4441132007534256,-1.2048947904971161,6.818357573492331,6.818357573492331
cc_align,gov,1,flores,ta,-0.4441132007534256,-1.2048947904971161,5.091659847240403,5.091659847240403
cc_align,gov,1,bible,ka,-0.4436295364105709,-1.2048562767222215,0.7648529270389322,0.7648529270389322
cc_align,gov,1,bible,gu,-0.4436295364105709,-1.2048562767222215,2.701851217221277,2.701851217221277
cc_align,gov,1,bible,hi,-0.44364744890992197,-1.204857709034696,1.5572411502397603,1.5572411502397603
cc_align,gov,1,bible,si,-0.4436295364105709,-1.2048562767222215,0.8631338250816183,0.8631338250816183
cc_align,gov,1,bible,ta,-0.4436295364105709,-1.2048562767222215,0.9055385138137578,0.9055385138137578
cc_align,gov,1,gov,ka,-0.4421753053984263,-1.204738465456679,18.944656238633645,18.944656238633645
cc_align,gov,1,gov,gu,-0.4421753053984263,-1.204738465456679,24.601829200285103,24.601829200285103
cc_align,gov,1,gov,hi,-0.4421753053984263,-1.204738465456679,22.466085551337173,22.466085551337173
cc_align,gov,1,gov,si,-0.4421753053984263,-1.204738465456679,26.760511953249342,26.760511953249342
cc_align,gov,1,gov,ta,-0.4421753053984263,-1.204738465456679,23.265532446088585,23.265532446088585
cc_align,gov,10,flores,ka,-0.4441132007534256,-1.2048947904971161,13.505924625881802,13.505924625881802
cc_align,gov,10,flores,gu,-0.4421753053984263,-1.204738465456679,19.257855540012773,19.257855540012773
cc_align,gov,10,flores,hi,-0.4421753053984263,-1.204738465456679,16.96658480661328,16.96658480661328
cc_align,gov,10,flores,si,-0.4441132007534256,-1.2048947904971161,11.9801919851061,11.9801919851061
cc_align,gov,10,flores,ta,-0.4441132007534256,-1.2048947904971161,9.986240533854586,9.986240533854586
cc_align,gov,10,bible,ka,-0.44364744890992197,-1.204857709034696,1.7507141400011774,1.7507141400011774
cc_align,gov,10,bible,gu,-0.4436295364105709,-1.2048562767222215,4.210700654285477,4.210700654285477
cc_align,gov,10,bible,hi,-0.4436295364105709,-1.2048562767222215,3.752998800959059,3.752998800959059
cc_align,gov,10,bible,si,-0.44364744890992197,-1.204857709034696,2.2561028345357097,2.2561028345357097
cc_align,gov,10,bible,ta,-0.4436295364105709,-1.2048562767222215,2.9706901555026057,2.9706901555026057
cc_align,gov,10,gov,ka,-0.4421753053984263,-1.2047384654566788,30.95036348736475,30.95036348736475
cc_align,gov,10,gov,gu,-0.4424683713834714,-1.204762450552475,35.0508915721127,35.0508915721127
cc_align,gov,10,gov,hi,-0.4424683713834714,-1.204762450552475,33.00136360819051,33.00136360819051
cc_align,gov,10,gov,si,-0.4424683713834714,-1.204762450552475,42.50105881034026,42.50105881034026
cc_align,gov,10,gov,ta,-0.4424683713834714,-1.204762450552475,35.25287222340899,35.25287222340899
cc_align,gov,25,flores,ka,-0.4441132007534256,-1.2048947904971161,15.756427260010454,15.756427260010454
cc_align,gov,25,flores,gu,-0.4421753053984263,-1.2047384654566788,20.803845798313365,20.803845798313365
cc_align,gov,25,flores,hi,-0.4421753053984263,-1.2047384654566788,18.717104476921655,18.717104476921655
cc_align,gov,25,flores,si,-0.4441132007534256,-1.2048947904971161,13.16605483810547,13.16605483810547
cc_align,gov,25,flores,ta,-0.4441132007534256,-1.2048947904971161,11.652038448271632,11.652038448271632
cc_align,gov,25,bible,ka,-0.4436295364105709,-1.2048562767222215,2.1023796041628815,2.1023796041628815
cc_align,gov,25,bible,gu,-0.4441132007534256,-1.2048947904971161,4.80104155366314,4.80104155366314
cc_align,gov,25,bible,hi,-0.4436295364105709,-1.2048562767222215,4.104875150354776,4.104875150354776
cc_align,gov,25,bible,si,-0.4436295364105709,-1.2048562767222215,2.490983741416245,2.490983741416245
cc_align,gov,25,bible,ta,-0.4436295364105709,-1.2048562767222215,3.622154055254983,3.622154055254983
