model,pareto,rawlsian,gov-ka,gov-gu,gov-hi,gov-si,gov-ta,bible-ka,bible-gu,bible-hi,bible-si,bible-ta
linear,False,False,11.374097814068016,12.073816194974386,12.328406554343598,17.868713449548657,14.716788716628296,10.324358488907343,10.158058028491215,12.087023350459848,15.039913822728863,11.88598714564666
poly2,False,False,11.279688979842586,12.161027585998664,12.285251590493866,17.896438872309425,14.78638497325018,10.444039916841913,10.29227514652584,12.262301146332382,15.258994687095358,12.054966772371955
poly3,False,False,11.279680929232349,12.161024292135806,12.411977999781472,18.109386135595635,14.97963016505661,10.444035435891289,10.292277210925636,12.262304481205684,15.258992742060236,12.054983173389749
exp,False,False,11.493856321195963,12.113576772158344,12.366288832003972,17.904201654156726,14.744239494307967,10.342051127743815,10.160732442569754,12.079472189063052,15.02893663941679,11.884799971473594
log,True,True,11.045853916749564,11.914292301240913,12.085272691039362,17.6163436471725,14.558037294121435,10.220305160691076,10.081882438680957,12.011695402245357,14.943089073387933,11.80372494150279
power,True,False,11.14303234701232,11.925241956714167,12.116396662641847,17.65852150444707,14.583951337917629,10.332899886863396,10.07642092713354,12.001068820496616,14.929935303545408,11.79889886770644
hmult,False,False,12.02356942952235,12.45082439935848,12.57272818696607,18.075469740137528,14.924913902403384,10.39834956515198,10.188613342377202,12.06223086240277,14.995903620665006,11.886449875742231
scaling,False,False,11.085025274941172,11.942926511433694,12.105005385373644,17.643534492159567,14.624914548743249,10.346003779514623,10.098437331435935,12.0245378107305,14.952758674696746,11.818925908998343
