,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.0],1.0513915175368933e-09,[-0.5],7.050673632507995e-06,[-0.5],3.9081118109594954e-05
kfold,[1.0],0.06773117586070347,[-1.0],7.409827909995841,[0.5],28.323914289606613
