language to,c0,c1,rmse,loo rmse
ka,-7.88484048603274,-15.813537240461756,4.801472588944218,4.805697335293339
gu,-1.756003526082321,-14.15134990413418,6.348598808971535,6.352432230687936
hi,-5.320076526738533,-16.595102311834673,5.167482620049192,5.169018271354032
si,-9.851972124934418,-22.404339953388458,4.394685904402892,4.396483769851183
ta,-5.8112897909901715,-16.019974289328896,4.727106760991906,4.72954193956168
