,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,"[-1.0, 1.0]",3.6259732146947156e-16,[-1.0],1.2943552382535755,[0.0],3.5422093209148655
kfold,[-1.0],0.006850098529886716,[-1.0],2.520381986537261,[1.0],6.981821744397737
