model,mean,min,25%,50%,75%,max
linear,11.016024514690152,2.5632477046494064,6.032153570856767,12.765155976025325,14.848646436448572,18.14595643147855
poly2,11.554337512295461,3.084757917937263,6.640587847536715,12.103082113235043,15.348476019183565,20.204330022335707
poly3,24.92890633595305,4.518276298837914,9.371127961181772,15.36991828191311,45.41699187067073,53.13356058715259
exp,11.059397905880083,2.600768915382073,6.069070521076062,12.95421520376597,14.819741784868715,17.969561565492196
log,11.14986323817435,2.9511725097315407,6.120817246353031,12.725510536627471,15.180573072336818,19.286615493726156
power,11.115597200339478,2.708780495664578,6.061720745153187,12.703397708822775,15.201319753469377,18.82737109460297
hmult,11.009844042946922,2.656194276501686,6.014072129229897,12.671251249828172,14.920361117410756,18.201620783692547
scaling,11.14249597762307,2.741030962503,6.089876734495179,12.680347077299272,15.227699985989425,18.933992530122143
