model,pareto,rawlsian,1k,10k,25k,50k
linear,True,False,8.09618008078046,13.55607214280501,15.17878341779456,17.55771103116579
poly2,False,False,8.096179755584163,13.556072459009366,15.178784052654844,17.55770879783243
poly3,True,False,8.096179566909758,13.556072305975624,15.178783429136024,17.55771014526823
exp,False,False,8.096179883465933,13.556072429920029,15.178783792952569,17.55771294341588
log,True,False,8.096179819179195,13.55607202034894,15.178783921483085,17.557708530137873
power,True,False,8.096179663771215,13.556071971206585,15.178784027283749,17.557708699083623
hmult,True,True,8.120390738721571,13.556289748184856,15.179970016714355,17.47040827427746
