model,multi factor,multi variable,overall linear,sliced linear
linear,296.97%,99.67%,99.25%,100.00%
poly2,296.97%,99.67%,99.25%,100.00%
poly3,296.97%,99.67%,99.25%,100.00%
exp,296.97%,99.67%,99.25%,100.00%
log,296.97%,99.67%,99.25%,100.00%
power,296.97%,99.67%,99.25%,100.00%
hmult,296.64%,99.55%,99.13%,99.89%
