train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,999.9999999999983,-0.4480379461348728,-3.6141406507497935,-4.605494500376737,1.0703918709062175,1.0763300453430384
gov,1,bible,999.9999999992403,-1.6974160015067437,-0.3506595785296219,-15.856665729981767,0.26411656704697567,0.2655165000120864
gov,1,gov,44.503347690849026,2.4377160026728477,-2.437711674642617,0.1789879702976566,1.5376256634007082,2.7864390760084006
gov,10,flores,999.9999999999999,-3.1241383866207597,-0.8085825960748211,-5.10058878054164,1.0565121295131952,1.1052773262079154
gov,10,bible,999.9999999999998,-3.451809168818403,-0.7126914996870861,-9.52426010716272,0.5875149206210354,0.5947987655825484
gov,10,gov,19.86622589807474,1.966438039320125,-1.2947471797318109,1.762047272681861,0.9716658466511597,2.107287025462269
gov,25,flores,999.9999999999999,-2.9223212946555313,-0.7594571736062494,-5.029555224377672,1.0715856770957783,1.1243135438500116
gov,25,bible,999.9999999999876,-2.901034562333597,-1.0224015855598843,-9.056923037661852,0.6231433408924179,0.6264178550419661
gov,25,gov,21.906549707401414,2.0526901299451636,-1.3788098713905077,1.8582675091424068,1.4665459592909884,3.224976914027865
gov,50,flores,22.43097364606368,-4.348397168144911,-0.8479653845793704,6.928409137873507,2.067264423302555e-08,3.21011204092993
gov,50,bible,4.975700736543249,-8.183103239670384,0.6453852235132933,7.824785344927524,7.941405696356284e-10,0.3328026824105752
gov,50,gov,32.08223098785277,2.991959143725845,-1.9329058786509168,0.9452753722406266,5.484886937739728e-09,2.1468157646979535
bible,1,flores,999.9999999999657,-1.3737589109993606,-3.8964246942106975,-6.347246316514179,0.22685842420000157,0.22732645664662587
bible,1,bible,41.96169529175703,1.9388469607679246,-3.342207915649572,2.996956228199752,0.47850258180547617,0.9016403135079828
bible,1,gov,999.9999999999999,-2.3259113153543796,-3.6950151847205044,-6.838363312890851,0.1785842897883463,0.1791399311381363
bible,10,flores,999.9999999999999,-2.5643663924098634,-2.0675551579349594,-7.253371478382216,0.11222752571221135,0.11353620772297093
bible,10,bible,24.23395084101287,1.6347894479936438,-2.054164331268654,2.9966515822583832,0.5086042145409487,1.0330474905303353
bible,10,gov,999.9999999999999,-2.509260695017537,-2.5092602293721558,-7.673479534316545,0.26525300922770406,0.26609482938612006
bible,25,flores,538.3424922802152,-2.5793286122456847,-1.306520058889239,-7.099817381565547,0.1413298151226512,0.15680951464748075
bible,25,bible,23.91743218863774,1.4887163301155906,-1.7625568187905165,2.894559505641854,0.4612302868796794,0.9363794261195745
bible,25,gov,999.9999999999999,-2.492631722581797,-1.7707227360561442,-9.250143146893107,0.2216698122911354,0.2228407824761021
