train set,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,flores,4.6769779313015025,-6.547980372373347e-10,3.945596235072898,-2.050466648557161e-05,5.851899479926931,5.855524714813631
gov,bible,0.0,0.0,0.0,0.0,2.271685619876913,2.271685619876913
gov,gov,16.870734098045688,-3.3382669487932028e-09,13.909963191485756,-0.039392629370561406,10.332399446079748,10.460166349895257
bible,flores,0.0,0.0,0.0,0.0,2.2374092160353682,2.2374092160353682
bible,bible,12.421112140317334,-1.3943933967243028e-09,10.479717051455786,0.018039227014510488,7.937342458862563,7.577523210673442
bible,gov,0.0,0.0,0.0,0.0,1.3576941236277535,1.3576941236277535
