,mean,std,min,25%,50%,75%,max
linear,1.4787380292678982,,0.0067148222175264,0.5242455477452083,0.9569559412870271,1.891448392628838,5.528972667124491
poly2,1.4185962426832917,,0.0031149624807647,0.5564953963233027,0.927639197559238,1.644683033997199,6.352347784016719
poly3,1.2445928233223151,,0.023933278334125,0.3331194999693668,0.7940861277819036,1.4767725693121003,5.001781202168571
exp,1.6421847108065344,,0.0175028081546862,0.31420416557377423,0.7586475085274127,1.88629196262192,7.533799825503455
log,1.5590542089956017,,0.0007948033173116,0.539214678605035,1.1076892662882951,2.6867187306184928,5.866452750809452
power,1.8110159828402117,,0.0049570371775852,0.8527409300955273,1.7765365024746544,2.19820349305774,6.0717391107072975
mult,2.0789023553429398,,0.0084294222979213,0.3904384070343001,1.488307813526516,3.1055031172337344,10.782831901882512
hybrid_mult,1.4534658843888397,,0.0283678889942366,0.5382794787709719,1.326104020774011,2.2601775662899684,4.161183890786301
am,2.3035627090897277,,0.0614259244870173,0.9687624135315308,2.102644949797244,3.519689022204759,7.148322638119587
gm,2.4328873226079337,,0.1981611610874507,0.9850244740682277,2.1325549183269477,3.553287897759421,8.24818960835408
hm,2.5603336204601064,,0.3006620159446531,1.0394151947345378,2.14574885354347,3.6269175587324782,9.401324236546008
