,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,1.1492657235018735,0.0151294117355761,0.2624827721953542,0.7142318280212515,1.3871123908186211,6.241983221798366,True,False
poly2,1.292764557560077,0.0061022402241333,0.31418017593903075,0.8013273869819408,1.6836930592353674,5.87267296454289,True,True
poly3,1.5059579908234833,0.0018818202981175,0.37113919504071774,0.7929579541196112,1.9784578497893173,10.393633972155758,True,False
exp,2.197627825192818,0.0182557013615149,0.7587138353735845,1.4888368890673607,2.7493856781283164,8.111395697053043,False,False
log,1.6359646924555993,0.0162590912184956,0.35892643461185897,1.0494832414096638,2.518435713535639,9.740107205757436,False,False
power,1.760484788928376,0.0170280957394942,0.4602301249072171,1.0525830729897618,2.2199508723007013,13.900068437214829,False,False
mult,4.6452538195122015,0.0149157450923929,0.3066575633030889,1.353700921775825,5.186378360994691,99.04851100749624,True,False
hybrid_mult,1.69584471321621,0.0138259308544837,0.549490808532765,1.474775874542619,2.428959129643088,5.912626930206272,False,False
am,2.578749322359671,0.2782694900982299,1.0273587320353659,2.2064221503576906,3.4527520205651236,9.149408363553873,False,False
gm,2.666814088042681,0.3031727807961722,1.0329106563250836,2.3286556932028537,3.586258896079137,9.429570310319503,False,False
hm,2.8025640828092584,0.3445884760383867,1.0480635369393958,2.3818238295317107,3.949607111219781,9.89549694992027,False,False
