,mean,std,min,25%,50%,75%,max
linear,2.330981671795441,1.1510657834439193,0.0058299212849788,0.5631338599053164,1.934118069184167,3.3521517454440817,23.110290702501125
poly2,2.5009576005434853,1.4014389724535083,0.0001812172804516,0.5186133287174344,1.7810206353171254,3.3561325441030894,25.18937546357152
poly3,2.615844202307135,1.5352467682446733,0.0010051808708182,0.5339587122433243,1.8542950230377937,3.358946658800268,26.397940493508266
exp,3.47955312900608,4.479531195196472,0.0007919937132485,0.6803680035957574,1.8412976088055488,3.3650128144278,103.94664315918054
log,2.385625526395211,1.2763053599535963,0.0007948033173116,0.5599587042245464,1.942819345672635,3.3311993212072277,20.098608359181213
power,2.3380398427530267,3.503700057143791,0.0007505097481833,0.6096742891062594,1.8825279851041423,3.2925851199718985,72.89290047238387
mult,2.590363151794415,3.9926322069653226,0.0011734269886431,0.4933619391643962,1.8583503387593017,3.3439978168740665,114.68686406958363
hybrid_mult,2.603714887139458,10.69476003443258,0.0038413933572771,0.5438851436518685,1.7809917305317595,3.400082863689176,214.4797415475559
am,2.4476334184841657,0.9885520322204241,0.0058299212849788,0.9500492422684442,2.0957301936434973,3.543708693450925,23.110290702501125
gm,2.460611201756912,0.9562369121439214,0.0058299212849788,0.9083038363100547,2.0957301936434973,3.735424831320301,23.110290702501125
hm,2.4971943083713635,0.9607396608821477,0.0058299212849552,0.9083038344679462,2.0957301936434973,3.8078729161491314,23.11029070250113
