,mean,std,min,25%,50%,75%,max
linear,2.1062581021330193,,0.0058299212849788,0.8703008210806573,1.8792719551148074,3.3323615536727282,5.953289941845847
poly2,2.1017065268661344,,0.0049050011465649,0.8566785746178232,1.8684002259101073,3.3347175467256727,5.963783539988133
poly3,2.1024446617159205,,0.0010051808708182,0.8524087123267752,1.8568145550452948,3.3403457761202513,5.971761987096011
exp,2.2247852626474893,,0.0007919937132485,0.9835314362063796,1.9927129853929086,3.359941288602617,6.056787023964342
log,2.103469390443601,,0.0075586959285232,0.8703489412125541,1.8840667791305872,3.328179492131378,5.933841227105972
power,2.09844222465621,,0.0011734269886431,0.8671506231848604,1.9345509469732989,3.353776483270945,5.57288355887697
mult,2.09844222465621,,0.0011734269886431,0.8671506231848604,1.9345509469732989,3.353776483270945,5.57288355887697
hybrid_mult,2.087913138023117,,0.0881174592162276,0.8687053992107341,1.9215313619388394,2.976124357584647,5.694703831181886
am,2.1062581021330193,,0.0058299212849788,0.8703008210806573,1.8792719551148074,3.3323615536727282,5.953289941845847
gm,2.1062581021330193,,0.0058299212849788,0.8703008210806573,1.8792719551148074,3.3323615536727282,5.953289941845847
hm,2.106258113264762,,0.0058299212849552,0.87030081739644,1.879271937140109,3.3323615506932596,5.953289941831736
