train set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,ka,2.555527044739874,2.2240899741718727,-0.12453964383972684,0.0023303910667269367,10.8453418824189,11.279742514620075
gov,gu,6.031595176186444,5.220285685018102,-0.5426415988304742,0.014302620887092088,11.690199425486346,12.16137421982451
gov,hi,7.615635140007212,1.3450264614273515,-0.050131092617477134,0.0005612703659798881,11.883749375194649,12.43995446273895
gov,si,6.88495284094342,1.5414187277946383,-0.05674586045866179,0.0006320431971281204,17.372046756598778,18.12991830406848
gov,ta,6.19049079677353,1.1972561155030668,-0.04455825834915586,0.0005059236339942028,14.348720934481255,14.974933881049608
bible,ka,2.341842267170288,2.029221353279906,-0.1838671743753508,0.004625756466896533,10.041203095595888,10.444773223793076
bible,gu,3.5607842541206707,3.0804614697197996,-0.32603571287615063,0.008644236963696228,9.89410520140734,10.292085570984689
bible,hi,3.865623770750605,3.343387082149665,-0.36139696560642115,0.00964622986493342,11.78784581980436,12.262045739283018
bible,si,4.180868448488909,3.6172556153186037,-0.38232229139253937,0.010118741351365855,14.668501309203412,15.258691206355829
bible,ta,3.1635169364591373,2.737501950681303,-0.2824265919842757,0.007444162450240623,11.589063773582929,12.054796995039784
