language to,c0,"c1,1","c1,2",c2,rmse,kfold rmse
ka,-13.550537811384425,42.321201585104845,-52.89566661887495,-15.366786266642565,4.413001532678676,4.499380190795356
gu,-9.333212640337466,30.690662605385807,-35.39520411180845,-15.808521613207729,5.907969808560336,6.050968968166551
hi,-12.185490389827692,12.898794396426057,-3.747732191851511,-18.25949317929232,4.038024862475706,4.140334434708117
si,-15.87744192064912,11.113491675672133,-4.284321720575351,-23.676400388293946,2.640264630651906,2.706315612475959
ta,-12.166992104320332,10.550690009404327,-2.9517675405691444,-17.49365680925202,3.3230477749124128,3.43741108644571
