,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,7.7632085376749265,0.0672805325047792,3.21365866808466,5.238390030615478,10.363411067392683,39.65603298066822,True,False
poly2,7.4530138686649074,0.0723107138121536,3.054245974684964,5.089619170226094,9.872441111549989,72.05488973201678,True,False
poly3,7.217278449730852,0.1235300290975865,2.628521140507873,5.044428889145896,9.678610411928215,92.25889696985992,True,False
exp,18.68507746558056,0.0029706949189544,2.3812666561136226,4.870259846018185,9.496628489107886,3292.13088002626,True,False
log,8.62059951856006,0.1963197669560533,3.219148251111462,4.816478276316577,10.283455996891725,79.51771380468442,True,False
power,24.17399296728918,0.0240754982770747,3.190059631434976,6.0328222818532,10.531775387240202,4466.378884088651,False,False
mult,17.234503218857267,0.0240754982770747,2.6496640452955385,6.027346233018864,10.531775387240202,4466.378884088651,True,False
hybrid_mult,12.342828882230043,0.025614396655012,3.118448171029075,6.41085510721212,12.54202033806412,696.9319315836193,True,False
am,9.340211959804492,0.0672805325047792,5.160465226920468,9.286355091280395,11.488740262238132,39.65603298066822,True,False
gm,9.350752070476949,0.0672805325047751,5.209582549677871,9.337529182135976,11.324746435566958,39.65603298066821,True,True
hm,9.383533903561377,0.0672805325047792,5.197692912625142,9.569446184852406,11.414337295421715,39.65603298066822,True,False
