train set,train set size,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,5.879564032895627,3.071360273717974e-05,1.578921479523848e-06,-2.916003766833785e-06,-8.722925758174505e-10,5.999408460347961e-06,-3.7206267697547775e-06,8.615091692657186,8.954088074171292
gov,10,13.5398290490856,5.245258313599873e-09,0.000337252176835228,0.0042022664538882695,0.004663586084351571,-0.022550598062335146,0.1456539053496237,14.29144576328678,14.402468387066483
gov,25,15.796728353589867,0.000900137258796372,-0.0007252507415298171,-0.00020023135095401638,-7.794393660382737e-09,0.00020979505449061366,0.00032593997120045656,15.654594160986539,15.915646797925485
gov,50,16.93626338383113,-2.515108608116653e-10,0.12593992269217683,-0.027369513268160683,0.02806233669888661,0.008481810686878833,-0.06614362230045893,17.426256025706426,17.74691913715107
bible,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.019148333732431,10.019148333732431
bible,10,7.180072941654123,0.5018298666640587,-0.08151299680018817,-0.06658997537738877,-1.0258360082833048e-13,-0.0010531330366796209,0.18109295801365877,12.737862038181895,12.511426177555773
bible,25,9.442084811506378,0.000440773106960504,9.778666081537404e-08,-4.99292379564122e-07,2.2970310508866684e-07,4.109533653529874e-07,-2.6116692479654223e-07,14.414660886490939,14.293884752418421
