train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,14.485080673679699,-12.726322704599497,-22.532551532994397,-31.083489790012642,1.5388307249337074,1.546450841146147
gov,1,bible,4.9567939876492355,-3.8314082110954812,-11.227464285727011,-18.40369402326891,0.2863564212655271,0.28699712008812284
gov,1,gov,30.817856336596943,-18.18479184021074,-23.98155069188573,-22.37330452829619,3.321671266094825,3.3266579411713786
gov,10,flores,28.223661085332992,-27.57908287477584,-26.223030561968308,-36.66161008605045,2.483948469674844,2.525025762649751
gov,10,bible,7.741306262814775,-6.117765665194947,-14.506319656317388,-22.2373257999036,0.7861297602813418,0.7919492871828269
gov,10,gov,30.96785851741298,12.251180299250736,-1.5421386561144328,-11.274819564546817,3.7453971752005164,3.7454189705967873
gov,25,flores,32.9390170899527,-28.737233967424622,-35.67768541830544,-44.698341188312135,2.6932322588295277,2.7383668602335782
gov,25,bible,9.260784500911377,-7.521069383074638,-16.838224802705508,-25.51938717576036,0.8303613671167511,0.8341927542696244
gov,25,gov,34.7475656075348,11.253486274233104,-0.5827863146194222,-6.339286048480752,4.443647150708527,4.444202827896776
gov,50,flores,8.743834153919297,8.743867482629678,8.743917389761823,8.743626104166529,3.418576701884377,3.4674294032707538
gov,50,bible,1.3341526095707006,1.3341526094915805,1.3341526095371297,1.3341967286961127,0.8730533902472529,0.8803787063909532
gov,50,gov,33.28411009810638,17.431007899279628,10.153238619162403,7.067217132017216,5.336873824836242,5.345677381461274
bible,1,flores,3.5532247879438867,-2.149416677065018,-6.745984074167458,-11.15782289451423,0.3,0.3012320380386275
bible,1,bible,13.580872358710993,8.589236639480896,2.887593719474614,-4.352843900303058,2.7730849247724096,2.7838821814149437
bible,1,gov,2.1710706512077027,-1.284852416349891,-4.33114847037592,-7.252280146994794,0.23804761428476168,0.24419178862045604
bible,10,flores,6.587622730828624,-4.219167701928981,-11.389605818021492,-18.40029248368593,0.28867513459481287,0.30000000004202604
bible,10,bible,18.052446646025587,17.30301312598065,15.70428024529132,12.713488530973285,3.035896353083661,3.059714341544303
bible,10,gov,4.357259037178584,-2.764711437273734,-8.381950210958578,-13.83222544542833,0.3668560117175856,0.3773690599511517
bible,25,flores,7.2673975089826754,-5.178862500309561,-11.573793631776908,-17.485086371477248,0.31224989991991986,0.3135706150807092
bible,25,bible,19.899883726094075,21.525893099612524,19.0012500682372,16.008734736602264,3.3641492238008706,3.3674977084365603
bible,25,gov,5.553798619779385,-4.156025892852626,-10.663146838548402,-16.56694950664066,0.354259791678367,0.35668542133917963
