train set,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,flores,70.7721085688976,-267.0473839974413,283.61022082633576,5.033232161238527,5.085956021795587
gov,bible,25.80407458499768,-110.34758625212702,120.9321624932354,1.2077166592884057,1.2198606658870168
gov,gov,-157.67841487474936,857.6083783754049,-919.619684662873,8.906081677948034,9.021667461944904
bible,flores,13.293043853707905,-54.250380975012945,61.719379714534284,0.9180378207978895,0.9293048614984407
bible,bible,-108.96037757955526,617.9329143844753,-675.2018311937542,6.542853906512633,6.652640524868741
bible,gov,11.630604500984726,-49.388420905535924,55.16749139405832,0.6858335112889042,0.6942604831511536
