train set,train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,1,flores,2.562531267870718,1.9100178139077657,0.9130510278239587,0.29516195866394274,-3.6256789258310618,-7.779723988118595,-0.5951762822630543,7.329202306859271e-06,0.708704858537473
gov,1,bible,0.0003203811174265047,9.816002013271582,18.255564142555816,-7.181988853416096,-10.588955958246698,-28.290284869427254,-13.582018141305467,0.18373130290268616,0.39272922250334397
gov,1,gov,29.119572866847633,1.0274884188673197,-3.258038840167289,1.0755057921836562,-0.2874959506617294,-4.319962187990183,1.7533320247831117,4.147701957998667e-06,4.864649415754236
gov,10,flores,0.4382104768713897,-0.16875402785473562,0.7045598538334515,-0.8199182205408628,-1.1431643844709687,-1.0037355241262913,-2.5440105136189857,4.357057426489775e-06,2.011302980896529
gov,10,bible,0.006532545767489708,-0.3234148790529751,0.7204630272416604,-0.4064216872121026,-4.007350732413273,-3.469091938091533,-3.860219711413468,0.001770734866042428,0.5217217626302596
gov,10,gov,64.69017303435056,0.5725866222149264,-0.28043198641395173,-0.05929145579714525,0.6325148077590969,-0.958820358342547,0.368802320359123,1.4713209646793384e-05,2.4833793564535194
gov,25,flores,0.5951538714267025,-0.1934306923856995,0.4069572050915305,-0.7066912982528899,-0.9667689847743802,-0.880195361776427,-2.3664170253451826,4.672126287676978e-06,2.4981078919007373
gov,25,bible,0.07697095381728249,0.06057364423744247,1.6594221496955137,0.16265345173382578,-4.357684507896184,-3.6989720190736217,-2.8403108440145135,9.841818764349007e-06,0.5908176447254883
gov,25,gov,55.632212818074294,0.5315776376190032,-0.6847161554930562,-0.08352793283570904,0.8683652557804146,-0.9074496327062938,0.3566714011064725,4.301999790514774e-06,2.450091009564576
gov,50,flores,7.465223603945475,-0.47878434412256843,0.0711945095657054,-0.5247684752693412,-0.9177558171197082,-0.022774948077877867,0.42713900564995666,1.812003757181049e-05,1.8824161430543418
gov,50,bible,0.6577139244094535,-1.0059423182556395,-0.0038961711536838867,-0.4371000525553168,-1.9873686480911017,0.17531446597161157,0.6056110032731811,9.503935600779884e-07,0.5433902470593096
gov,50,gov,49.666809081252055,0.4251284443502974,0.008753170119172723,-0.25026815198936936,0.9558445951419494,-0.21683314841014933,-0.23209889691179014,2.8817791127324713e-07,7.232264532800079
bible,1,flores,1.140600652087567,1.614089972946897,0.2036139615656879,1.224614911949335,-4.15347499793371,-7.4596566450786295,0.1321105731705524,4.290069899236617e-05,0.4225578106717555
bible,1,bible,33.76025714404383,1.0400039630233366,-2.667407272056063,0.466227288084496,0.15793961850956267,-3.8399505242255456,1.8783051321361959,1.2297308283114043e-06,3.9638798670591155
bible,1,gov,0.19551132122349563,1.7346208619632701,2.8333511521048225,0.11601532172045348,-5.135201702751378,-7.791629214698146,-1.7210630537448808,5.255012254109734e-06,0.1780787386136352
bible,10,flores,0.20277523935102557,0.18096485050238287,0.5706318374808929,-0.03343632628754599,-1.6075184024259808,-1.9328829650749257,-2.1637196893626016,1.2717536190911761e-05,0.3053573146304098
bible,10,bible,78.3876157751418,0.7565031992808395,-0.2698019807183419,-0.08780568983911183,0.32845742278277223,-1.7055059009576288,0.8800933249262403,2.5835618888766494e-05,3.508431023386575
bible,10,gov,0.10479539989641011,0.7405163304080745,1.3458099282899363,0.09262612255985553,-3.7550201466843536,-4.960486403856023,-2.152859552267306,2.1339210859232394e-06,0.30601547025627357
bible,25,flores,0.331984238250193,-0.013883216026323385,0.9580006413637551,0.0450646685956144,-1.6272292028764577,-1.1449446495294375,-2.0934575883492306,1.936192868122017e-05,0.4262458850394578
bible,25,bible,78.29231279875242,0.6341180993437593,-0.5677260278519879,-0.019445380743779137,0.35666291334311667,-1.5322528569619407,0.9499911414355174,2.346132237614714e-05,3.2192167912323995
bible,25,gov,0.05375311006957844,0.40348821952000885,1.2901859969646934,-0.10682592351662203,-2.9548216081540546,-3.509932529759472,-2.9767245568782252,0.004564753256313187,0.279261234554972
