train set,train set size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,2.127206352357431,3.849362202786341,1.3059781623180087e-07,-2.6528213039244368e-09,0.0037666355390799273,2.727924585139745,2.7687873522374646
gov,10,flores,2.369828154199635,1.6073245695595442,1.3122646512712497,-2.5911080453520346e-10,0.0004489853576962629,4.0663321817531255,4.701357222171859
gov,10,bible,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,2.5927060572279497,1.666619569462363e-10,3.47264594790542,3.026543461633173e-08,1.320846559285363,2.189620093002543,2.381137916071515
gov,25,flores,2.9066182853132214,1.0527699174473961,1.0401702541707287,-3.683939944763746e-09,0.6386660640331051,4.779118598578385,5.800234523285449
gov,25,bible,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,2.767594213734353,3.7048432753254666e-09,3.416230842102069,-3.2560528674723065e-05,1.4178612743079622,2.5094521818549325,2.9108008716541782
gov,50,flores,2.6887138505195964,-1.3995415380257185e-08,3.293568146875503,-5.138070713618578e-09,4.584468069442439e-07,4.134076894414034,4.322079385972547
gov,50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,2.5880383293614293,-2.7667635480488927e-09,4.259375733476997,-0.4161055617805409,1.2653674835999755,1.4774384545736383,5.2383267430837135
bible,1,flores,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,2.052645010480226,0.39129208405092597,-4.1703641805307395e-10,-1.014913566229966e-05,2.6984063827430136,3.000270664621599,2.844469288274752
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,2.4136524042071286,-2.7138598692051663e-09,3.0684181083020876,-0.07800661859440053,1.4240799082642177,2.762295038808016,2.9546903128581774
bible,10,gov,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,2.4184902600932374,-2.8742017380686434e-09,4.034384406262977,-0.19086678705836863,1.021615981579846,2.645800567116335,3.1132191799166504
bible,25,gov,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
