train set 1,train set 2,test set,language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
cc_align,gov,flores,ka,21.228228316680976,0.8950988880037448,-0.0792088680239856,0.0006873573463272465,0.8764338130916903,0.000893448174250444,-0.0007771328196952146,0.22484562605386815,0.2614064321620692
cc_align,gov,flores,gu,-16.64386482174877,0.9816092160538418,0.005688769581653807,-0.00012805374581032313,0.8794818892081426,0.021063496255916737,-0.0015521753075196942,0.07071067811865388,0.0866025403781828
cc_align,gov,flores,hi,0.9976518268151727,22.440341237613886,-1.107356017357102,0.00883815830238902,1.2291333190393392,-0.04707670450069861,0.0005489416024937884,0.11388041993566947,0.18027756956485969
cc_align,gov,flores,si,0.9987373084592727,-6.012823284489862,0.30957248651095665,-0.002488868891086564,0.9121687452759106,-0.03495279667422799,0.00040120937263798235,0.1274754878398146,0.13281147901033552
cc_align,gov,flores,ta,0.9950800075083559,18.483494598713165,-0.9192391366674019,0.0073481445753583036,0.845361300160111,-0.03096035525686125,0.00035718065007667296,0.15958931675970384,0.15986105164213407
cc_align,gov,bible,ka,18.537072145762057,0.8982569245647983,-0.0841047324017343,0.0007327620032242755,0.8636955390185882,-0.09363883221908566,0.0024994840225463027,0.04082482904638049,0.040824829046368895
cc_align,gov,bible,gu,-16.53202955229257,0.9805963384643774,-0.01064556477255775,2.7012853529096635e-05,0.8658720462451843,-0.08626512398365623,0.0022496485058792664,0.09428090415820804,0.11547005383665276
cc_align,gov,bible,hi,0.9881763595822461,28.964876855075186,-1.4483529211934376,0.011587446728152467,0.3971430461795112,-0.01570003780029274,0.00018019652316875545,0.10307764064461065,0.166249477171225
cc_align,gov,bible,si,0.9964154640340871,18.747922188338233,-0.9391181057264736,0.007516432332356752,0.24478117913908212,-0.00980861678007713,0.00011814058956948826,0.1677050983123151,0.2124591460326853
cc_align,gov,bible,ta,0.9967131084727716,19.696263866868243,-0.9864070455585853,0.00789432001119155,0.35245823884444877,-0.01275593348426594,0.0001408541194231533,0.12437342964248728,0.1404358294977934
cc_align,gov,gov,ka,18.636534217869368,1.0093034864325954,-0.0530756897509759,0.0004296670441646967,0.8842048694619554,0.07548299150014393,-0.003384044026896191,0.5421151989097013,0.6639525572484187
cc_align,gov,gov,gu,-6.762978947237617,0.9612679482689812,0.015441416446600286,-0.00021992808496800872,0.8858229732891266,0.05009974917718254,-0.002484766695203898,0.1312334645668632,0.2254625491054341
cc_align,gov,gov,hi,0.9992648052760883,-5.815682071348506,0.33138741473845507,-0.0027123107125992425,1.8491310879230272,-0.06940244316810928,0.000779440489107202,0.3288236609493628,0.431568142022763
cc_align,gov,gov,si,0.9988831198946329,-4.334074517637916,0.2643741662948689,-0.002186821303051743,2.7384467578106855,-0.10137982106890062,0.0011417233882504516,0.20916500663353207,0.25685058032829
cc_align,gov,gov,ta,0.9973079967202235,-5.845206450709628,0.3338437722260444,-0.002733226545286227,2.0747791094336385,-0.0759676977729398,0.0008486395951841811,0.2836701429480342,0.4048262820163546
cc_align,bible,flores,ka,-8.583286419969284,0.965692499306099,-0.030048603255338237,0.00021293922682365918,0.8647675376682571,-0.0895983166523099,0.0023396651745384253,0.023570226039544843,0.028867513432465533
cc_align,bible,flores,gu,-6.772896599862109,0.9989794810251759,-0.032102524183981955,0.00023020126457359475,0.8575716667970587,-0.07724345810635035,0.0019308882395821987,0.14337208778404098,0.21984843257378972
cc_align,bible,flores,hi,-5.936055965726425,0.9796170393272904,-0.03349137125718578,0.0002447004386072096,0.8599121568480691,-0.09136073638834016,0.0024079114018139337,0.06236095644622378,0.09128709291861374
cc_align,bible,flores,si,-8.589454599952372,1.001871978793518,-0.0314343936993819,0.00022341456171544625,0.8556345525759242,-0.09314204484781038,0.002472824291040158,0.10274023338280781,0.15545631804972757
cc_align,bible,flores,ta,-6.616319990936037,0.9681471291246583,-0.033604371109085054,0.00024685370019554505,0.8630556012153847,-0.09049854377925348,0.0023942496728805007,0.13123346456685367,0.14719602413564578
cc_align,bible,bible,ka,8.027592570469707,0.9165029900219444,-0.033646784145047876,0.0002513278751560202,0.8809688845223338,0.032892721812632586,-0.0017868863056553596,0.17795130420051142,0.2041241452782645
cc_align,bible,bible,gu,-6.062645121894978,0.9629394723420974,-0.0018698367259979845,-5.5287948650417905e-05,0.8774564696288253,0.01197430948932802,-0.0010836485146206308,0.047140452079101336,0.05773502691914492
cc_align,bible,bible,hi,45.06831171668687,0.9299226470898105,-0.10258941102064516,0.0009066648344925063,0.8796875588726567,0.02382211739517968,-0.0014770547062817468,0.09428090415823825,0.1154700542189252
cc_align,bible,bible,si,-6.295798732548941,0.8671116569359488,0.015728990744080913,-0.00021518831322339479,0.9074975972332631,0.06175907543699087,-0.002884511354728704,0.1027402333828164,0.16832508232474244
cc_align,bible,bible,ta,-6.078882915447008,0.9532291459004741,0.0006463912958785612,-7.837674091824427e-05,0.8829648017759448,0.037824816461826755,-0.001993333379083627,0.07071067811865325,0.1224744871391534
cc_align,bible,gov,ka,-6.135566940480491,0.9581473165042019,-0.035363625133339675,0.0002639979041394286,0.8630791429114342,-0.10686116659003533,0.0029645077139213638,0.04082482904637687,0.06454971926298128
cc_align,bible,gov,gu,-8.58613555394489,0.9761439614641854,-0.029143677401785785,0.00020366003321799328,0.8631007702657156,-0.08343114993167705,0.0021439208314755795,0.02357022603954658,0.02886751345947356
cc_align,bible,gov,hi,-17.18121619073762,0.9816998807553367,-0.011334111809299609,3.3418640073439676e-05,0.864202771531303,-0.09987590564456418,0.0027126023172973036,0.047140452079102294,0.05773502471616363
cc_align,bible,gov,si,-16.531682922022704,0.9903969419472192,-0.015132636269038302,6.89324302657633e-05,0.8623204835617226,-0.09562449772866746,0.0025584994225042942,0.06236095644623045,0.06454972729891081
cc_align,bible,gov,ta,-16.52125152319455,1.0074078716026154,-0.01663709333683703,8.226928389159439e-05,0.858313482998802,-0.0954429117061406,0.0025766035146314054,0.13123346456686089,0.17559422928946514
