train set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,6.627907454145002,4.18217552537528,1.980983322044463,-9.260990062509364e-11,-0.015829360865902597,-0.004903303989797697,-0.004249066328107301,14.804886006564079,14.90851724916135
bible,3.7816844138591,2.384137464659541,1.1336126409695912,-2.224862928770316e-09,-0.007539345736552625,-0.0020496203955988903,-2.12706767485542e-05,12.29705635623214,12.351428188893504
