train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,25,gov,1,flores,35.50693945105204,-22.762792703283626,-7.844146747768431,1.3788884412212161,1.414684888352647
cc_align,25,gov,1,bible,7.480680439387928,-4.685140042069862,-2.0955403973180657,0.6110100926607788,0.6142746399887707
cc_align,25,gov,1,gov,6.10146966170227,73.4154148630832,-59.51688452478545,2.067204231161821,2.5646313884792904
cc_align,25,gov,10,flores,45.684435127672785,-25.974551343417716,-8.609883784255086,2.7570515652293084,3.033369991287621
cc_align,25,gov,10,bible,-0.7751748936328768,16.360554935601318,-13.435380041968441,0.8064324728911496,0.8551802928817613
cc_align,25,gov,10,gov,-15.683484034906378,144.20586891411247,-95.7223848792061,3.400196072777781,3.627855197404294
cc_align,25,gov,25,flores,61.670058629994614,-58.14420029551149,9.374141862151152,2.970746258658479,3.3360655469180185
cc_align,25,gov,25,bible,8.690011266436032,-2.4863200687115277,-3.603691194558317,0.9556847457887635,1.0282671158753285
cc_align,25,gov,25,gov,-11.828774139195097,144.11815398084894,-95.93937984165385,3.9291644574048243,4.157803907513375
cc_align,25,gov,50,flores,46.471994057439254,-25.87421293934822,-7.697781118091044,2.6536138880151205,3.2029500553324546
cc_align,25,gov,50,bible,2.716898918385576,-1.6801194946947096,2.4632205339074424,0.5715476066494087,0.5746327715730155
cc_align,25,gov,50,gov,66.084084794922,-24.96640510627394,-0.017679628687198523,5.307227776030225,7.426162676854147
cc_align,25,bible,1,flores,7.012268429054416,-2.190714940899718,-3.6715534678465955,0.5160749299601111,0.5397530299436337
cc_align,25,bible,1,bible,2.983967149594811,66.12829428971966,-52.96226143931446,2.121556032726932,2.364318130517516
cc_align,25,bible,1,gov,12.497470336570098,-16.88910585117727,4.941635514607165,0.3301514803844076,0.3316624790355402
cc_align,25,bible,10,flores,14.590114339384362,-14.305056898382693,1.914942696056384,0.7933053216343264,0.7958224257542216
cc_align,25,bible,10,bible,-25.30609281084532,143.28693474634258,-92.08084193549725,3.1757413832573578,3.3330666559991653
cc_align,25,bible,10,gov,0.9654965813818537,14.676542422813553,-14.742038904132901,0.5876506898943807,0.6011100920947776
cc_align,25,bible,25,flores,3.5269926571398527,7.75227351423423,-8.72926610750979,0.9307702903151439,0.944104513988432
cc_align,25,bible,25,bible,72.884968051269,-58.8423330841158,16.057364349586642,3.2430438377138118,3.3789542158054355
cc_align,25,bible,25,gov,14.876350924756085,-14.137112105276314,0.5107611805202303,0.6887186169498668,0.7066352627822441
cc_align,100,gov,1,flores,54.87090798366516,-65.74043119288356,17.31952299049543,1.42349335556348,1.5004443786203643
cc_align,100,gov,1,bible,-2.3602167786438786,16.80305010009215,-13.492833321448273,0.5747463208523682,0.5756156124822651
cc_align,100,gov,1,gov,8.338784436065636,63.416268217568415,-49.60505265363404,1.8216293073326824,2.199848479630679
cc_align,100,gov,10,flores,62.268057879237965,-56.30849528711995,6.390437894792299,2.4743349274771678,2.661453080447478
