train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
cc_align,gov,flores,ka,6.451247107265068,0.015555556049105064,0.36887755238009784,1.7206487399140478,1.9292154660954568
cc_align,gov,flores,gu,11.583673469387755,0.012000000000000025,0.38469387755102036,2.1940162905031486,2.4189377348015175
cc_align,gov,flores,hi,11.14694081129617,0.021666666684639912,0.19587872188439095,2.0261022769439894,2.0918917056258457
cc_align,gov,flores,si,7.7069535735533945,0.017333332887171635,0.1283587502807848,1.5986393258840133,1.6904649071025768
cc_align,gov,flores,ta,5.30048110331325,0.02300000013072247,0.1557915760732892,1.394414050979866,1.4661884240655485
cc_align,gov,bible,ka,0.7319727891156462,0.0026666666666666674,0.05289115646258503,0.23395810427899924,0.25544752947163923
cc_align,gov,bible,gu,2.630385490733385,0.004444444417296963,0.08265306114969778,0.34554173839135777,0.4015357248770509
cc_align,gov,bible,hi,2.0819535244401903,0.005999999980118499,0.04502541754649929,0.723433499083519,0.7356954936384389
cc_align,gov,bible,si,0.5954066811909947,0.011333333333333334,0.039360929557008,0.4074731948270239,0.40747736289010045
cc_align,gov,bible,ta,1.202242193173566,0.008333333333333328,0.05183369644153958,0.6780707773686151,0.7035683609731401
cc_align,gov,gov,ka,19.96349201108213,0.014222222665811685,0.6011904774145642,2.968889616600044,3.3842942220664485
cc_align,gov,gov,gu,25.928117913832196,0.004888888888888897,0.5346938775510204,2.482122016584884,2.783121385130821
cc_align,gov,gov,hi,26.181735676878212,0.008666666496091656,0.24774872888158128,3.4386778367664776,3.711625565626751
cc_align,gov,gov,si,32.222512818305034,0.010666665716093619,0.4074800277128842,4.956131447530392,5.27773093015835
cc_align,gov,gov,ta,27.24247460900107,0.011666666436001356,0.3100399415785495,3.8272035418564863,4.131008411931002
cc_align,bible,flores,ka,1.0147392381455211,0.004444444367191489,0.05340136033137805,0.3390830639578429,0.3769743150633192
cc_align,bible,flores,gu,2.6546485260770862,0.007555555555555648,0.09914965986394587,0.5076484178048554,0.5132226753844248
cc_align,bible,flores,hi,2.3043083900226735,0.004888888888888907,0.04778911564625855,0.3010516337238522,0.3101497464996533
cc_align,bible,flores,si,1.1315192778980505,0.004888888859060008,0.039965986312376314,0.27912541577654,0.27961783844866145
cc_align,bible,flores,ta,1.2002267630790389,0.007555555507195699,0.06479591823411053,0.3012775142448722,0.30803883828450285
cc_align,bible,bible,ka,15.704761919023282,0.009333333212678388,0.5440476187144053,1.9879847417254837,2.2103648424634046
cc_align,bible,bible,gu,17.809070279672266,0.0035555556835589414,0.4585034017132132,1.7036309097465892,1.8763671415074685
cc_align,bible,bible,hi,20.217913905588908,0.006222221600600992,0.5105442159744449,1.851183968752918,2.0035888490546703
cc_align,bible,bible,si,24.31655328798186,0.008888888888888873,0.5967687074829934,2.6526881714870654,2.9510722378454863
