train set size,test set,c0,c1,rmse,kfold rmse
1,flores,2.354724142029609,-1.1670543684932897,2.358309154671235,2.37017210894521
1,bible,8.969040208970412,-1.3673574332845773e-09,8.40273794321236,8.514178262406919
1,gov,9.841166858072736,4.563206785672348e-06,9.625553711646432,9.735337613075796
10,flores,3.724655058443307,-8.421654466549311,5.288021652562193,5.358075562083313
10,bible,14.855620138306707,0.16822003884337666,13.077051112013317,13.277260620939467
10,gov,21.07511204076322,7.934005220202102,16.8972913146899,17.163406480449428
25,flores,4.71667537121852,-9.441836033237541,6.368606904583181,6.453049205865582
25,bible,17.236729264782557,0.40176012802927236,14.898836013870634,15.13130277687755
25,gov,24.438072950885587,11.427822913396682,18.751047885642873,19.060600984750305
50,flores,5.156777605326323,-24.119473606726977,1.5335044365834274,2.7560183489199894
50,bible,0.2967324287064403,-4.880991867384075,0.3717083132395762,0.594505310865591
50,gov,56.24454016838923,37.44342349461794,2.1180981503318304,3.678069463432763
