test set,language to,c0,c1,rmse,kfold rmse
flores,ka,1.448286240102747,2.174268964527009,4.54284704155309,4.755717868227851
flores,gu,4.933123943290465,2.236840764121736,6.083147900668295,6.408150633213633
flores,hi,3.2070081354034956,2.7717218698417336,5.657563161128694,5.831769284594791
flores,si,1.7659281074923838,1.9149857681144515,3.609968573039576,3.7181067051158787
flores,ta,1.1081488275795215,1.781548411674649,2.8639516935799167,2.9546282210368946
bible,ka,6.353277529139758,2.6967805989583282,10.596513411381345,11.186115146200656
bible,gu,9.28967990557668,2.278556019826087,9.994575077244455,10.596729383248466
bible,hi,11.666547280426576,0.5505989503353957,12.26869852572483,12.733017963393552
bible,si,13.301865136400084,0.3334646134138763,15.795822986276404,16.368256425786843
bible,ta,10.155213086664357,0.5024107781623128,12.501250112836274,12.942556625615621
gov,ka,6.395497456738587,3.6880655643698232,13.368272473844947,14.045934804879272
gov,gu,11.95712659394551,2.6675228312015222,14.98459365406986,15.890452600361519
gov,hi,8.663725089262886,4.563971748008289,14.0055418771653,14.49313162165838
gov,si,8.649390128938725,6.78399553839143,18.69257163206361,19.297956088458374
gov,ta,8.001631134987267,5.301829035048351,15.567499252979703,16.09498020392036
