,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[-0.5],0.3825572600837076,[-1.0],2.1868172874294687,[-1.0],5.3278357676976045
kfold,[0.0],0.3974192585464941,[0.5],2.2055424510783426,[1.0],5.338384270096935
