test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
flores,ka,9.601005145381219e-08,-1.3669311978085274e-09,0.10276946857612454,-0.003585521522311265,4.593432995054142,5.351847180357012
flores,gu,0.0009161389314112202,-1.3588306526359441e-09,0.15629265289796335,-0.005480170770319915,6.67185925939347,8.05919721187043
flores,hi,-4.306598497464941e-09,1.0368960746529299,-0.03686314191046045,0.000473868948125029,5.455531712023791,5.573909222041491
flores,si,-3.803043545796247e-10,0.4826197566641214,-0.011315269805212096,0.00013112227262088332,3.5689937378062226,3.4312101431589217
flores,ta,-8.45318880584951e-10,0.2981943238837316,-0.0032945073470454023,3.631575827344784e-05,2.703153253196847,2.695274737142971
bible,ka,-1.0024189156209173e-09,0.024450462162321544,0.192574045886859,-0.006788130511109306,11.163766736386272,12.946679590332186
bible,gu,0.9086394061137268,0.837416805679217,0.09231381130820927,-0.004024867642134721,10.884371348745278,12.632576726258195
bible,hi,0.3748572552095171,2.1208196634445264,-0.07175483029897677,0.0006106529584967044,11.916611457379032,13.72936603424067
bible,si,0.4657541956583346,2.444178700460573,-0.08453518713091258,0.000721045229685233,15.164684420142649,17.045171728144986
bible,ta,0.27097316347027756,1.8047035248991525,-0.056552824525392,0.000419408833686703,11.963046222164092,13.365598508966569
gov,ka,-1.0909319819913368e-09,0.03044244374254274,0.2397620614309101,-0.008509990696537854,13.7794545929234,16.25041453925031
gov,gu,2.0362949968922335,1.8108620982593573,-1.0459375029858286e-09,-0.0017225531326492674,15.68907312982636,18.421755630657433
gov,hi,0.4653622119007586,2.559053139400181,-0.10922914054307242,0.0014505256702087236,13.742455006029866,15.150727539347885
gov,si,3.934397722618978e-06,3.3071889514082744,-0.14107654270159695,0.0018943867072153675,17.93027400637071,19.996076048549423
gov,ta,0.46693334025236855,2.647125211992955,-0.11336202888776997,0.0015307065079145203,14.965464073195907,16.61652324345622
