train set,train set size,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,1,2.9382468729368396,-3.9365581963359e-09,5.808168347812591e-06,1.78250354643403,0.74213422134351,8.827935845568412,9.073066268783798
gov,10,5.330435828099931,-2.833192601336703e-09,0.20371622372355844,4.5865304583888635,3.917005639183613,14.441687522331094,14.674689882576509
gov,25,6.352146758529231,-4.69969954032033e-09,0.051815385550958354,5.433773717340057,4.6071744210054595,15.785412422380322,15.963962387366012
gov,50,6.805426634433704,-1.674476023304375e-09,0.04173601347027506,5.8570118744887685,5.0034037649746175,17.541040282168193,18.14472816734365
bible,1,1.466000746643397,-0.0012002027409659809,-3.4555291113657144e-09,1.2361722947648617,1.0293263817266944,8.301931418030504,8.1687999387558
bible,10,3.123918409297536,0.002443331826462054,-1.431396883905805e-10,2.6717377040878607,2.264773030683067,12.715105812106554,12.481068653377497
bible,25,6.718023423070929,-8.178039523742029e-10,-0.0008920919783671962,3.2690036740208175,0.034994362939579776,14.363993469029621,14.370576919399205
