train set 1 size,train set 2,train set 2 size,language to,c0,"c1,1","c1,2",rmse,loo rmse
25,gov,1,ka,-8.061993225781352,124.45068258527627,-175.20654706206744,6.120809829720348,6.539264278117325
25,gov,1,gu,-1.189218583709218,87.89267098271809,-115.59516961171913,7.658496228595594,9.063364977430066
25,gov,1,hi,4.455444676583239,-0.9950251639312206,38.54165149058321,7.0026419840595455,10.307951471207982
25,gov,1,si,-7.441279973921505,100.68406173558495,-122.4673463970613,9.760804694784138,13.174416542880031
25,gov,1,ta,5.105760933886499,-36.61693213752262,102.14885832235869,8.011040520076241,15.959611254288118
25,gov,10,ka,-14.104902735396172,237.18645642009835,-341.25340920754564,8.95293813208811,9.531007272410921
25,gov,10,gu,-0.2548400911610772,144.16612345565233,-202.35436806780888,10.182847092913434,12.257957760373372
25,gov,10,hi,13.504385829788053,-29.171765435175555,95.07597852108171,9.950005908867597,14.525535070309662
25,gov,10,si,0.9345437545824572,105.0374757635395,-129.24264791646488,15.88040004195571,21.730158854189412
25,gov,10,ta,14.475386117175862,-76.05798421631114,175.39004637662828,11.806639811620961,23.912304136564014
25,gov,25,ka,-17.137748735990836,273.4489783000295,-391.67580728068947,9.746444490148,10.390375384533252
25,gov,25,gu,-0.7668000143099821,159.7692269706775,-222.71976551447432,11.02183644726453,13.227916941425553
25,gov,25,hi,13.950026287274541,-24.8576073832271,92.67958662093483,10.65586740887796,15.344965101766476
25,gov,25,si,3.1367392800783387,106.86426132729116,-131.53187475119205,17.586232686201377,24.12658633217118
25,gov,25,ta,17.02018780163548,-86.61077122608924,196.85639448920003,12.816484408416624,25.776096857761353
25,gov,50,hi,12.933453679995647,-9.136738747315347,70.30112401404276,11.064849084193595,15.924295444586486
25,gov,50,si,1.6564533335603588,124.4965599713785,-154.16374832934176,18.585730301279483,25.44058811795514
25,gov,50,ta,17.014106900104288,-78.34622699530895,187.7998569831448,13.441839487473393,27.54678532084119
25,bible,1,ka,13.224505261976574,-102.49544358779912,180.68814268851975,4.337851427688061,7.63473418678804
25,bible,1,gu,22.08146476224471,-150.2575247751426,261.09900429865934,2.3543226489035285,10.878180642011117
25,bible,1,hi,19.20810423317289,-162.09558237240375,319.3683347377869,3.9374050402026612,3.947909041012915
25,bible,1,si,11.655245031067231,-133.44860758764153,266.93561615440893,2.2536747585682457,2.354079535164065
25,bible,1,ta,6.684653450742859,-75.34870182405751,167.97644321867185,4.447503679389877,68.7861924702624
25,bible,10,ka,22.255882138136826,-171.5481878056785,300.14696368575136,6.535943777989436,13.428366594694195
25,bible,10,gu,39.8167029896402,-248.2072902289317,408.7115363681468,3.1218812811562486,14.304480907020768
25,bible,10,hi,29.12960170851746,-243.47013846986763,476.2920259032919,5.841283423502746,5.930038718439794
25,bible,10,si,22.828573364637226,-221.19167731323427,422.0538803857222,3.311083126043045,3.3266349539096853
25,bible,10,ta,15.213012370727146,-136.40402301774515,280.2246013713303,6.828879886180016,106.47831574731993
25,bible,25,ka,25.07579036329752,-198.99258483210542,351.3848447031786,7.5192526888475095,15.61093107330294
25,bible,25,gu,45.23835344812473,-283.91166099466824,469.0484775850732,3.5751790842912192,16.45894111166978
25,bible,25,hi,34.81374777772298,-290.14822472775495,562.9220198663802,6.594949027883531,6.64923510235969
25,bible,25,si,24.475272782367803,-241.12991711502517,462.422524923294,3.9222550031673875,4.3727701325555195
25,bible,25,ta,17.602445464918336,-156.82991030467124,322.2235426336171,7.783289883960372,121.61809154051267
100,gov,1,ka,-644.382563057646,2906.8161995269993,-3148.3867007548033,1.626584592170969e-13,8.173747920388493
100,gov,1,gu,-455.4687385243228,2146.823747320089,-2394.2234290310685,3.554108585226184e-13,9.427776064403636
100,gov,1,hi,-694.4843203410418,3525.589165376527,-4322.379387492135,2.7333708904007475e-13,8.817497037697999
100,gov,1,si,425.8259302104589,-1864.1598891920069,2001.8785299952058,1.6947303853687665e-13,10.712345231531698
100,gov,1,ta,-1195.500411911235,6093.555108365591,-7523.964543883889,3.751244100848403e-13,11.042899756638496
100,gov,10,ka,-874.5412378428791,3977.926753166526,-4330.561161977924,1.9404088339275995e-12,11.213415128727814
100,gov,10,gu,-552.8729932659617,2653.7026674437575,-2989.992895516257,1.40095893308472e-13,11.713758899777698
100,gov,10,hi,-887.3607071762063,4537.643184293333,-5583.832003283445,5.563510321141838e-13,11.37194304535864
100,gov,10,si,631.3889285912443,-2751.6695131991196,2949.3019631012608,3.3696237561253933e-13,15.798404502297481
