test set,language to,c0,c1,c2,rmse,kfold rmse
flores,ka,120.0,10.253767914355272,-1.0648127578658952,4.539167239859719,4.967213081098006
flores,gu,24.94196800644764,3.9466138402719206,-0.40805490906675934,6.082557028157694,6.495639257234546
flores,hi,16.54646919378723,0.0,-0.44674122332799887,5.411531441662806,5.677838531961286
flores,si,10.982658990275265,0.0,-0.4783510004543454,3.4401556430783384,3.6088525866096743
flores,ta,10.183333958629019,0.0,-0.599327227567895,2.590175975413338,2.7489025565931597
bible,ka,31.028511096206657,4.281969053967982,-0.3991684865689057,10.59563589409135,11.305689670792624
bible,gu,21.334475234834873,1.2393135128552513,-0.21092525631709086,9.994540176191153,10.644769341570484
bible,hi,120.0,58.90589518669169,-0.5231540949470005,12.17576219097747,12.659530023291044
bible,si,120.0,64.40175888360436,-0.4937448642032095,15.713927019283576,16.27378045345392
bible,ta,120.0,57.05792809495621,-0.55826523560735,12.416001314297732,12.87435032542879
gov,ka,120.0,12.436066832373136,-0.7149770048645463,13.354382148698932,14.595994437070438
gov,gu,29.132486404318232,2.849361577708522,-0.22567246343666889,14.983880233163134,15.997279018337602
gov,hi,30.244015923568494,0.0,-0.35409930621095903,13.723033324927538,14.337854343857503
gov,si,42.00912446311561,0.0,-0.4540219983023637,18.147419668918577,18.942899001996516
gov,ta,33.921481628576814,0.0,-0.42058282577960476,15.16088921941425,15.829701846761358
