train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,2.826644082570141,-9.469709074923728e-09,-0.09709794154243725,2.374683235371301,2.3900790337386524
1,bible,8.8701549195332,-3.3503965250995967e-09,6.610260303426484e-05,8.402742663764208,8.461552047066956
1,gov,9.869544461085583,-0.07589385778591909,-4.3190314212395105e-08,9.625239600397489,9.71659659872628
10,flores,7.143509103405304,-0.36460492618937046,-8.43935425841947e-09,5.390904173297545,5.399138772306777
10,bible,14.786741489769776,-4.50210007324655e-08,-0.03879709990619338,13.078006057411915,13.179007547379737
10,gov,17.969077860077242,7.086228194417836e-09,0.012097400638805156,16.946435937790774,17.142851273525487
25,flores,9.114502988386068,-1.8797531175734465,-7.746989521488022e-08,6.454606839918834,6.448036232355681
25,bible,17.07792172052987,9.095765405033004e-08,-0.00021931334465057683,14.900765699303676,15.022530103843668
25,gov,19.979901891460088,3.541839738367901e-05,-3.140700337180092e-08,18.824202745307666,19.056729618088163
50,flores,14.152012713092393,2.8445508745568804e-08,5.741522620187788e-07,3.4189134877125458,3.8079256458361694
50,bible,2.100157592227505,-1.4226574471428226e-09,-0.05366808642777213,0.8762771403829612,0.9733319238651088
50,gov,42.27276429998881,2.6906476118682356e-06,-6.863239035006463e-10,5.337217505373097,5.950846223425967
