test set,language to,c0,c1,rmse,kfold rmse
flores,ka,1.0633949413728272,0.6342312154891281,4.64017066122855,4.953120257760523
flores,gu,4.512274393113847,0.6470469335606652,6.141981223163721,6.573519845581764
flores,hi,2.6946206831740045,0.6870530154533083,5.316213922253711,5.454624412878029
flores,si,0.9955299564894039,0.594798042108673,3.4108393576592015,3.4954062995042174
flores,ta,0.1973324584592693,0.5846897616591369,2.583228172744475,2.656194276501686
bible,ka,6.170214036023112,0.69424223635929,10.655297591199663,11.370401939091302
bible,gu,8.84424114830488,0.655377950872561,10.02406650920625,10.702198740743974
bible,hi,11.389143304040036,0.14838452489990364,12.286696049653186,12.671251249828172
bible,si,12.768739961616983,0.08050762211265933,15.801504197488196,16.255817575264167
bible,ta,9.813053913741765,0.13700417730210063,12.516046182205116,12.899265266958125
gov,ka,6.930252056783155,0.7660692510385801,13.517080457087133,14.401668458745691
gov,gu,11.763741563400593,0.6910783127144621,15.025712480282378,15.98918058602945
gov,hi,8.592148906347637,0.8220793158879984,13.425960401260337,14.084337175548388
gov,si,9.80182619218953,0.9173362648234453,17.763478615749328,18.201620783692547
gov,ta,0.37632988232760456,0.926485736353934,15.975380678667502,15.439053776075824
