train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,2.399994161630479,-34.80123575985039,1.3043516908238046,1.3961565233305249
gov,1,bible,0.3000002728210665,-8.22572968026203,0.6703233050802277,0.7166218146906461
gov,1,gov,15.850000704490629,-52.04352053320306,2.609661536163965,3.0185151168781674
gov,10,flores,9.449995649684753,-37.80677918252073,2.833078419908427,3.1244068796775295
gov,10,bible,1.1499984216265262,-14.07867052837146,1.0248577137022599,1.1020518851904764
gov,10,gov,32.74999724377373,-31.7956360138421,3.378313188560986,3.675784136253948
gov,25,flores,11.59999980334682,-42.39412832541744,3.218902504477795,3.544770683497873
gov,25,bible,1.4999958036717704,-15.818767810629563,1.159885051780846,1.2418741820785342
gov,25,gov,36.25000033985112,-36.85757062813364,4.030177828996316,4.3582924578575355
gov,50,flores,11.300002251117824,-41.28678314625283,2.735263546108309,3.794503737346145
gov,50,bible,1.5999974212190948,-8.067586834912214,0.7756717518855198,1.0345348896938404
gov,50,gov,40.80000639953547,-21.829717266221103,5.2255781179394605,6.703706685557172
bible,1,flores,0.6499996532893003,-7.434790508953914,0.39285281382910087,0.4230261236084608
bible,1,bible,14.2999993170491,-43.02688203093911,2.1036476257523855,2.3393864580033426
bible,1,gov,0.2999991736934563,-5.378371365573514,0.2633122354425427,0.2815171766331649
bible,10,flores,1.6999948492362051,-9.174965582668817,0.6733003292556823,0.7206095469779108
bible,10,bible,25.450001897339014,-34.64294790440429,3.0991934434626347,3.3489569469012985
bible,10,gov,0.7499999031992867,-8.70028636634852,0.5121848624601705,0.5478273382413892
bible,25,flores,2.0999998257174552,-8.225729225004937,0.7357535819371713,0.7873052051084926
bible,25,bible,29.749999646549277,-31.795599572993158,3.3587199942835593,3.6331593290864923
bible,25,gov,0.8999997190583283,-9.174848727815275,0.6366579406034132,0.6814691065487046
