train set size,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,10.997649760196815,4.972420633060022e-07,-1.8316273231878879e-06,-4.56698919282222,8.047999537352592,8.04912068259863
10,17.975994358055026,-1.5750484010548886e-07,-0.1685827829707603,-5.445121853901048,13.508571169586514,13.530478660498147
25,20.42476667827125,-1.3065505906824545e-08,-0.09916205601676899,-6.1902031856212005,15.130653689274364,15.153302735444294
50,22.46967798907093,0.007276558023227879,1.626100853932038e-08,-3.61138569127025,17.20657156342262,17.522142101294698
