model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,5.338578883155931,0.9978134110786381,,0.9990663528442383,,
poly2,5.338578882979413,0.9978134110783807,,0.9999986886978149,,
poly3,5.338578882838693,0.9978134110781757,,0.9999986886978149,,
exp,5.338578883127786,0.9978134110785971,,0.9999986886978149,,
log,5.338578881952547,0.9978134110768839,,0.9999986886978149,,
power,5.338578882900011,0.997813411078265,,0.9999986886978149,,
hmult,5.338578883207163,0.9978134110787128,,0.9999986886978149,,
