train set,test set,c0,c1,c2,rmse,kfold rmse
gov,flores,2.366095616994366,2.568958172607255,5.36946108510891e-07,5.633829146226455,5.638676000065193
gov,bible,0.0,0.0,0.0,2.271685619876913,2.271685619876913
gov,gov,3.8360785946077947,1.1488847953651884,2.1385487463589787,9.296692691962598,9.29957558372047
bible,flores,0.0,0.0,0.0,2.2374092160353682,2.2374092160353682
bible,bible,3.449703695865046,1.1580153449881443e-07,2.86902882590958,7.174678095091423,7.1597667561780725
bible,gov,0.0,0.0,0.0,1.3576941236277535,1.3576941236277535
