model,none,train,test,train+test
linear,13.711550807977853,13.258517193509409,12.052025535172282,4.2045171183065095
poly2,13.711726705965036,13.258752688533534,12.052194217619592,4.203572093261911
poly3,13.71142779102134,13.258798166793817,12.05239093982744,4.2037377221682
exp,13.71352917125084,13.26264513106451,12.05487327499985,4.204090192346288
log,13.712026956322884,13.259341414864624,12.052268351621906,4.203512138885434
power,13.713608395309103,13.262576854881726,12.053710718256701,4.205496359609515
hmult,13.712573948745463,13.259723005402105,12.053920949569465,4.208786844352621
