train set size,language to,c0,c1,rmse,kfold rmse
1,ka,27.781241279543234,-5.9248921067865865,1.6386774081252942,2.353376442203752
1,gu,32.84998857761654,-3.9344259230714274,4.297044618774913,5.820796706122114
1,hi,38.14022786051869,-4.916165732671426,2.727325062943085,3.4759244939936575
1,si,79.22871349550498,-7.652909226795105,0.7315965521639062,0.794431135264236
1,ta,37.39420822814115,-5.513936982089666,2.69327954457806,3.3963503501291954
10,ka,47.09374939839884,-4.8273335105853,4.409867713247248,5.166072764890246
10,gu,45.63124394720388,-3.7063558562910037,5.832048697855397,7.095157909728098
10,hi,51.04593550448189,-4.531461908236157,4.056886806558908,4.667899907909221
10,si,79.8031227835978,-6.488958848351365,2.0086234408709296,2.225218921727314
10,ta,55.919841831429736,-5.932845408945856,2.9637270562091236,3.34493962325128
25,ka,52.23169911334718,-4.724806204723055,4.7769392546768765,5.5671113549841005
25,gu,50.03283680332475,-3.6059146565249254,6.412641171212531,7.73059687985459
25,hi,55.94416248837712,-4.484208619000657,4.305344671078173,4.893287572075448
25,si,84.8585075882598,-6.222505978861994,2.325638205831222,2.500131395953306
25,ta,59.42504645093915,-5.66605973463285,2.771711839849511,3.104213579749729
50,hi,70.26245631980696,-4.438955318012647,2.7755682457491897,17.829299321138297
50,si,80.396441729208,-5.066933376799956,1.7942202123985684,64.73632339726196
50,ta,64.69720917729639,-4.807217887366393,1.6141404751019357,41.236959169991465
