model,multi factor,multi variable,overall linear,sliced linear
linear,197.11%,66.15%,65.80%,100.00%
poly2,197.11%,66.15%,65.80%,100.00%
poly3,197.11%,66.15%,65.80%,100.00%
exp,196.37%,65.90%,65.55%,99.62%
log,197.11%,66.15%,65.80%,100.00%
power,197.10%,66.15%,65.80%,99.99%
hmult,195.76%,65.70%,65.35%,99.31%
