model,pareto,rawlsian,1k-flores,1k-bible,1k-gov,10k-flores,10k-bible,10k-gov,25k-flores,25k-bible,25k-gov,50k-flores,50k-bible,50k-gov
linear,True,False,2.2285352670433825,8.572040631246505,9.857045290266395,5.338450838459474,13.332764470422555,17.345508405383832,6.438575344047337,15.187333441124716,19.262140619273456,3.812806567412544,0.9737596415659224,5.951490476087021
poly2,False,False,2.228535233106871,8.572040914087232,9.857046082727946,5.33845023274441,13.332762580227769,17.345512190896677,6.438575736031237,15.187336759722314,19.262140052654853,3.812806446768189,0.973759670908317,5.951490522375985
poly3,True,False,2.228535205165157,8.572041709756567,9.85704690114676,5.338450543743599,13.332765869702856,17.34550600691743,6.438574893544223,15.187331328672087,19.26214576080984,3.812807194436636,0.9737596451446788,5.95149047985294
exp,True,False,2.228533543466824,8.540017822723751,9.792766511469477,5.338445543344692,13.282273489184874,17.243786841729086,6.438574130983592,15.130525385552977,19.156354526935367,3.8128063302329473,0.9737598578328808,5.951490435335834
log,True,False,2.228535283611888,8.57204067871292,9.857045942143593,5.338449211683475,13.332767677033791,17.345512279635095,6.438575318026052,15.187334872539369,19.26213781852882,3.812806626346114,0.9737596589939698,5.951490464787066
power,True,False,2.22853543471564,8.57198491109184,9.856375958571627,5.338449550380668,13.332640828363305,17.34090204567429,6.438572260576686,15.187273313064292,19.260877879001388,3.812805892158322,0.9737594559547752,5.951490498398939
hmult,True,True,2.2235561242410613,8.515207429843644,9.760226672909766,5.299396410837874,13.245091868084131,17.19945935817144,6.385515956384358,15.088974631963069,19.10279863528526,3.8128063382914448,0.9737596490570276,5.951490488515333
