model,multi factor,multi variable,overall linear,sliced linear
linear,44.05%,14.78%,14.72%,100.00%
poly2,42.04%,14.11%,14.05%,95.43%
poly3,87.25%,29.28%,29.15%,198.06%
exp,41.87%,14.05%,13.99%,95.05%
log,45.33%,15.21%,15.15%,102.91%
power,43.03%,14.44%,14.37%,97.67%
hmult,49.59%,16.64%,16.57%,112.57%
